t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
70.860,-2.160,-7.610,0.0000,0.0000,0.0000,0.0000,0.200,0.400,0.0000,0.0000,0.640
70.910,-2.190,-7.590,0.0000,0.0000,0.0000,0.0000,0.400,0.000,0.0000,0.0000,0.640
70.960,-2.210,-7.590,0.0000,0.0000,0.0000,0.0000,0.300,0.000,0.0000,0.0000,0.640
71.010,-2.220,-7.590,0.0000,0.0000,0.0000,0.0000,0.300,-0.200,0.0000,-0.0000,0.640
71.060,-2.210,-7.610,0.0000,0.0000,0.0000,0.0000,1.200,-0.500,0.0000,-0.0000,0.640
71.110,-2.170,-7.630,0.0000,0.0000,0.0000,0.0000,1.600,-1.100,0.0000,-0.0000,0.640
71.160,-2.130,-7.670,0.0000,0.0000,0.0000,0.0000,1.200,-1.000,0.0000,-0.0000,0.640
71.210,-2.100,-7.680,0.0000,0.0000,0.0000,0.0000,0.900,-0.900,0.0000,-0.0000,0.640
71.260,-2.120,-7.740,0.0000,0.0000,0.0000,0.0000,-0.200,-1.300,-0.0000,-0.0000,0.640
71.310,-2.130,-7.760,0.0000,0.0000,0.0000,0.0000,0.000,-0.400,0.0000,-0.0000,0.640
71.360,-2.140,-7.750,0.0000,0.0000,0.0000,0.0000,0.400,0.100,0.0000,0.0000,0.640
71.410,-2.150,-7.750,0.0000,0.0000,0.0000,0.0000,-0.200,-0.400,-0.0000,-0.0000,0.640
71.460,-2.190,-7.750,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,-0.0000,0.640
71.510,-2.210,-7.730,0.0000,0.0000,0.0000,0.0000,0.500,0.100,0.0000,0.0000,0.640
71.560,-2.220,-7.730,0.0000,0.0000,0.0000,0.0000,0.400,-0.100,0.0000,-0.0000,0.640
71.610,-2.260,-7.720,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,0.640
71.660,-2.280,-7.710,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,0.640
71.710,-2.270,-7.700,0.0000,0.0000,0.0000,0.0000,0.500,-0.100,0.0000,-0.0000,0.640
71.760,-2.250,-7.680,0.0000,0.0000,0.0000,0.0000,1.000,0.500,0.0000,0.0000,0.640
71.810,-2.240,-7.640,0.0000,0.0000,0.0000,0.0000,0.700,0.600,0.0000,0.0000,0.640
71.860,-2.240,-7.630,0.0000,0.0000,0.0000,0.0000,0.300,-0.200,0.0000,-0.0000,0.640
71.910,-2.270,-7.660,0.0000,0.0000,0.0000,0.0000,0.000,-0.500,0.0000,-0.0000,0.640
71.960,-2.310,-7.670,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.640
72.010,-2.340,-7.660,0.0000,0.0000,0.0000,0.0000,0.500,0.400,0.0000,0.0000,0.640
72.060,-2.310,-7.620,0.0000,0.0000,0.0000,0.0000,1.600,0.600,0.0000,0.0000,0.640
72.110,-2.290,-7.590,0.0000,0.0000,0.0000,0.0000,1.000,0.600,0.0000,0.0000,0.640
72.160,-2.270,-7.550,0.0000,0.0000,0.0000,0.0000,0.900,0.700,0.0000,0.0000,0.640
72.210,-2.260,-7.510,0.0000,0.0000,0.0000,0.0000,1.000,0.500,0.0000,0.0000,0.640
72.260,-2.230,-7.470,0.0000,0.0000,0.0000,0.0000,0.700,0.900,0.0000,0.0000,0.640
72.310,-2.200,-7.440,0.0000,0.0000,0.0000,0.0000,1.000,0.700,0.0000,0.0000,0.640
72.360,-2.180,-7.390,0.0000,0.0000,0.0000,0.0000,1.500,1.000,0.0000,0.0000,0.640
72.410,-2.110,-7.320,0.0000,0.0000,0.0000,0.0000,1.500,0.700,0.0000,0.0000,0.640
72.460,-2.070,-7.280,0.0000,0.0000,0.0000,0.0000,1.300,0.900,0.0000,0.0000,0.640
72.510,-2.040,-7.230,0.0000,0.0000,0.0000,0.0000,1.400,0.500,0.0000,0.0000,0.640
72.560,-1.990,-7.190,0.0000,0.0000,0.0000,0.0000,1.500,0.500,0.0000,0.0000,0.640
72.610,-1.930,-7.160,0.0000,0.0000,0.0000,0.0000,1.500,0.800,0.0000,0.0000,0.640
72.660,-1.910,-7.110,0.0000,0.0000,0.0000,0.0000,0.500,1.000,0.0000,0.0000,0.640
72.710,-1.910,-7.070,0.0000,0.0000,0.0000,0.0000,0.700,0.900,0.0000,0.0000,0.640
72.760,-1.890,-7.000,0.0000,0.0000,0.0000,0.0000,1.000,0.600,0.0000,0.0000,0.640
72.810,-1.850,-6.970,0.0000,0.0000,0.0000,0.0000,1.100,0.300,0.0000,0.0000,0.640
72.860,-1.820,-6.950,0.0000,0.0000,0.0000,0.0000,0.700,0.000,0.0000,0.0000,0.640
72.910,-1.800,-6.930,0.0000,0.0000,0.0000,0.0000,0.700,0.400,0.0000,0.0000,0.640
72.960,-1.790,-6.890,0.0000,0.0000,0.0000,0.0000,0.500,0.400,0.0000,0.0000,0.640
73.010,-1.790,-6.880,0.0000,0.0000,0.0000,0.0000,0.500,0.300,0.0000,0.0000,0.640
73.060,-1.780,-6.850,0.0000,0.0000,0.0000,0.0000,0.700,0.100,0.0000,0.0000,0.640
73.110,-1.760,-6.840,0.0000,0.0000,0.0000,0.0000,0.700,0.100,0.0000,0.0000,0.640
73.160,-1.750,-6.830,0.0000,0.0000,0.0000,0.0000,0.800,0.100,0.0000,0.0000,0.640
73.210,-1.740,-6.820,0.0000,0.0000,0.0000,0.0000,0.400,0.200,0.0000,0.0000,0.640
73.260,-1.750,-6.800,0.0000,0.0000,0.0000,0.0000,0.600,0.200,0.0000,0.0000,0.640
73.310,-1.740,-6.790,0.0000,0.0000,0.0000,0.0000,0.600,0.000,0.0000,0.0000,0.640
74.960,-0.150,-0.060,0.0000,0.0000,0.0000,0.0000,0.300,-0.200,0.0000,-0.0000,0.640
74.990,-0.150,-0.080,0.0000,0.0000,0.0000,0.0000,0.200,-0.400,0.0000,-0.0000,0.640
75.040,-0.180,-0.100,0.0000,0.0000,0.0000,0.0000,0.000,-0.200,0.0000,-0.0000,0.640
75.090,-0.200,-0.100,0.0000,0.0000,0.0000,0.0000,0.300,0.300,0.0000,0.0000,0.640
75.140,-0.260,-0.090,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,0.640
75.190,-0.330,-0.100,0.0000,0.0000,0.0000,0.0000,-1.775,-0.254,-0.0000,-0.0000,0.640
75.240,-0.390,-0.100,0.0000,0.0000,0.0000,0.0000,-0.744,0.000,-0.0000,0.0000,0.640
75.290,-0.460,-0.100,0.0000,0.0000,0.0000,0.0000,-3.284,0.000,-0.0000,0.0000,0.640
75.340,-0.520,-0.100,0.0000,0.0000,0.0000,0.0000,-0.876,0.000,-0.0000,0.0000,0.640
75.390,-0.540,-0.100,0.0000,0.0000,0.0000,0.0000,-0.675,0.000,-0.0000,0.0000,0.640
75.440,-0.590,-0.100,0.0000,0.0000,0.0000,0.0000,0.200,0.000,0.0000,0.0000,0.640
75.490,-0.580,-0.080,0.0000,0.0000,0.0000,0.0000,0.600,0.500,0.0000,0.0000,0.640
75.540,-0.560,-0.050,0.0000,0.0000,0.0000,0.0000,0.700,0.700,0.0000,0.0000,0.640
75.590,-0.540,0.000,0.0000,0.0000,0.0000,0.0000,0.600,0.700,0.0000,0.0000,0.640
75.640,-0.530,0.030,0.0000,0.0000,0.0000,0.0000,0.500,0.600,0.0000,0.0000,0.640
75.690,-0.510,0.060,0.0000,0.0000,0.0000,0.0000,0.700,0.700,0.0000,0.0000,0.640
75.740,-0.480,0.080,0.0000,0.0000,0.0000,0.0000,0.800,0.400,0.0000,0.0000,0.640
75.790,-0.470,0.090,0.0000,0.0000,0.0000,0.0000,0.500,0.400,0.0000,0.0000,0.640
75.840,-0.450,0.100,0.0000,0.0000,0.0000,0.0000,0.900,-0.200,0.0000,-0.0000,0.640
75.890,-0.420,0.100,0.0000,0.0000,0.0000,0.0000,0.700,-0.200,0.0000,-0.0000,0.640
75.940,-0.410,0.110,0.0000,0.0000,0.0000,0.0000,0.200,0.000,0.0000,0.0000,0.640
75.990,-0.420,0.120,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,0.640
76.040,-0.430,0.120,0.0000,0.0000,0.0000,0.0000,0.400,0.200,0.0000,0.0000,0.640
76.090,-0.430,0.130,0.0000,0.0000,0.0000,0.0000,0.100,0.500,0.0000,0.0000,0.640
76.140,-0.430,0.150,0.0000,0.0000,0.0000,0.0000,0.100,0.400,0.0000,0.0000,0.640
76.190,-0.450,0.150,0.0000,0.0000,0.0000,0.0000,-0.100,0.100,-0.0000,0.0000,0.640
76.240,-0.470,0.150,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.640
76.290,-0.500,0.140,0.0000,0.0000,0.0000,0.0000,-0.200,-0.100,-0.0000,-0.0000,0.640
76.340,-0.500,0.140,0.0000,0.0000,0.0000,0.0000,0.100,0.000,0.0000,0.0000,0.640
76.390,-0.500,0.170,0.0000,0.0000,0.0000,0.0000,0.100,0.200,0.0000,0.0000,0.640
76.440,-0.510,0.170,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.640
76.490,-0.530,0.170,0.0000,0.0000,0.0000,0.0000,-0.100,-0.100,-0.0000,-0.0000,0.640
76.540,-0.560,0.140,0.0000,0.0000,0.0000,0.0000,-0.100,-0.200,-0.0000,-0.0000,0.640
76.590,-0.580,0.130,0.0000,0.0000,0.0000,0.0000,-0.100,-0.400,-0.0000,-0.0000,0.640
76.640,-0.610,0.110,0.0000,0.0000,0.0000,0.0000,-0.400,-0.400,-0.0000,-0.0000,0.640
76.690,-0.640,0.090,0.0000,0.0000,0.0000,0.0000,-0.500,-0.400,-0.0000,-0.0000,0.640
76.740,-0.680,0.060,0.0000,0.0000,0.0000,0.0000,-0.400,-0.700,-0.0000,-0.0000,0.640
76.790,-0.700,0.030,0.0000,0.0000,0.0000,0.0000,-0.400,-0.700,-0.0000,-0.0000,0.640
76.840,-0.740,-0.030,0.0000,0.0000,0.0000,0.0000,-0.100,-1.000,-0.0000,-0.0000,0.640
76.890,-0.780,-0.070,0.0000,0.0000,0.0000,0.0000,-0.400,-0.800,-0.0000,-0.0000,0.640
76.940,-0.830,-0.130,0.0000,0.0000,0.0000,0.0000,-0.400,-0.700,-0.0000,-0.0000,0.640
76.990,-0.850,-0.140,0.0000,0.0000,0.0000,0.0000,-0.300,-0.200,-0.0000,-0.0000,0.640
77.040,-0.880,-0.160,0.0000,0.0000,0.0000,0.0000,-0.100,-0.300,-0.0000,-0.0000,0.640
77.090,-0.890,-0.180,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,0.640
77.140,-0.900,-0.160,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,0.640
77.190,-0.930,-0.160,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.640
77.240,-0.970,-0.160,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.640
77.290,-1.010,-0.160,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.640
77.340,-1.030,-0.150,0.0000,0.0000,0.0000,0.0000,0.000,0.300,0.0000,0.0000,0.640
77.390,-1.070,-0.130,0.0000,0.0000,0.0000,0.0000,0.000,0.500,0.0000,0.0000,0.640
77.440,-1.100,-0.110,0.0000,0.0000,0.0000,0.0000,0.000,0.500,0.0000,0.0000,0.640
77.490,-1.120,-0.090,0.0000,0.0000,0.0000,0.0000,0.000,0.400,0.0000,0.0000,0.640
77.540,-1.150,-0.080,0.0000,0.0000,0.0000,0.0000,0.000,0.300,0.0000,0.0000,0.640
77.590,-1.170,-0.080,0.0000,0.0000,0.0000,0.0000,-0.335,0.000,-0.0000,0.0000,0.640
