t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
16.240,-97.000,0.230,1624,16.240,0.0000,0.0000,0.0000,0.0000,0.000,-1.300,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,0.230,0.000,-1.300,0.0000,0.0000,-97.000,0.230,0.000,-1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.240,1776898407.775320,1.515,0,20260422_185326,EG,,,,serial_connected:/dev/cu.usbmodem101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.270,-97.000,3.850,1627,16.270,0.0000,0.0000,0.0000,0.0000,0.000,-1.100,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,3.850,0.000,-1.100,0.0000,0.0000,-97.000,3.850,0.000,-1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.270,1776898407.913465,1.653,1,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.320,-97.000,3.850,1632,16.320,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,3.850,0.000,0.000,0.0000,0.0000,-97.000,3.850,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.320,1776898407.914316,1.654,2,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.370,-97.000,3.880,1637,16.370,0.0000,0.0000,0.0000,0.0000,0.000,0.900,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,3.880,0.000,0.900,0.0000,0.0000,-97.000,3.880,0.000,0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.370,1776898407.915125,1.655,3,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.420,-97.000,4.050,1642,16.420,0.0000,0.0000,0.0000,0.0000,0.000,1.800,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,4.050,0.000,1.800,0.0000,0.0000,-97.000,4.050,0.000,1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.420,1776898407.986209,1.726,4,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.470,-97.000,3.960,1647,16.470,0.0000,0.0000,0.0000,0.0000,0.000,-8.300,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,3.960,0.000,-8.300,0.0000,0.0000,-97.000,3.960,0.000,-8.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.470,1776898408.046336,1.786,5,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.520,-97.000,2.160,1652,16.520,0.0000,0.0000,0.0000,0.0000,0.000,-110.100,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,2.160,0.000,-110.100,0.0000,0.0000,-97.000,2.160,0.000,-110.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.520,1776898408.087990,1.828,6,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.570,-97.000,-1.430,1657,16.570,0.0000,0.0000,0.0000,0.0000,0.000,-140.300,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-1.430,0.000,-140.300,0.0000,0.0000,-97.000,-1.430,0.000,-140.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.570,1776898408.147138,1.887,7,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.620,-97.000,-2.630,1662,16.620,0.0000,0.0000,0.0000,0.0000,0.000,8.200,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-2.630,0.000,8.200,0.0000,0.0000,-97.000,-2.630,0.000,8.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.620,1776898408.170474,1.910,8,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
16.670,-97.000,-0.470,1667,16.670,0.0000,0.0000,0.0000,0.0000,0.000,37.400,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-0.470,0.000,37.400,0.0000,0.0000,-97.000,-0.470,0.000,37.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,16.670,1776898408.237012,1.977,9,20260422_185326,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
