t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
405.480,-99.070,-98.090,40548,405.480,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.070,-98.090,-0.200,0.000,0.0000,0.0000,-99.070,-98.090,-0.200,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.480,1776901502.625542,0.634,0,20260422_194501,EG,,,,serial_connected:/dev/cu.usbmodem101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.530,-99.080,-98.090,40553,405.530,0.0000,0.0000,0.0000,0.0000,0.500,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-99.080,-98.090,0.500,-0.100,0.0000,0.0000,-99.080,-98.090,0.500,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.530,1776901502.720564,0.729,1,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.580,-99.060,-98.090,40558,405.580,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.060,-98.090,-0.400,0.000,0.0000,0.0000,-99.060,-98.090,-0.400,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.580,1776901502.721778,0.730,2,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.630,-99.070,-98.090,40563,405.630,0.0000,0.0000,0.0000,0.0000,-0.197,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.070,-98.090,-0.197,0.000,0.0000,0.0000,-99.070,-98.090,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.630,1776901502.772541,0.781,3,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.680,-99.080,-98.090,40568,405.680,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-99.080,-98.090,0.000,0.100,0.0000,0.0000,-99.080,-98.090,0.000,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.680,1776901502.814013,0.822,4,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.730,-99.060,-98.090,40573,405.730,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-99.060,-98.090,0.100,0.100,0.0000,0.0000,-99.060,-98.090,0.100,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.730,1776901502.853824,0.862,5,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.780,-99.070,-98.100,40578,405.780,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-99.070,-98.100,0.000,-0.100,0.0000,0.0000,-99.070,-98.100,0.000,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.780,1776901502.913334,0.921,6,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.830,-99.070,-98.100,40583,405.830,0.0000,0.0000,0.0000,0.0000,0.500,-0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-99.070,-98.100,0.500,-0.500,0.0000,0.0000,-99.070,-98.100,0.500,-0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.830,1776901502.954515,0.962,7,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.880,-99.050,-98.100,40588,405.880,0.0000,0.0000,0.0000,0.0000,-0.100,0.200,0.0000,0.0000,Auto,Raw,Auto,Control,-99.050,-98.100,-0.100,0.200,0.0000,0.0000,-99.050,-98.100,-0.100,0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.880,1776901503.012985,1.021,8,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.930,-99.060,-98.100,40593,405.930,0.0000,0.0000,0.0000,0.0000,0.200,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-99.060,-98.100,0.200,-0.100,0.0000,0.0000,-99.060,-98.100,0.200,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.930,1776901503.053578,1.062,9,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
405.980,-99.060,-98.100,40598,405.980,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.060,-98.100,-0.200,0.000,0.0000,0.0000,-99.060,-98.100,-0.200,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,405.980,1776901503.113807,1.122,10,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
406.030,-99.060,-98.100,40603,406.030,0.0000,0.0000,0.0000,0.0000,0.100,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.060,-98.100,0.100,0.000,0.0000,0.0000,-99.060,-98.100,0.100,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,406.030,1776901503.154126,1.162,11,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
406.080,-99.050,-98.100,40608,406.080,0.0000,0.0000,0.0000,0.0000,0.100,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-99.050,-98.100,0.100,0.000,0.0000,0.0000,-99.050,-98.100,0.100,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,406.080,1776901503.214302,1.222,12,20260422_194501,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
