t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
31.550,11.750,-7.150,0.0000,0.0000,0.0000,0.0000,3.100,3.500,0.0000,0.0000,0.000
31.600,11.730,-6.770,0.0000,0.0000,0.0000,0.0000,1.800,4.300,0.0000,0.0000,0.000
31.650,11.650,-6.640,0.0000,0.0000,0.0000,0.0000,-0.100,-2.500,-0.0000,-0.0000,0.000
31.700,11.600,-6.480,0.0000,0.0000,0.0000,0.0000,1.600,3.700,0.0000,0.0000,0.000
31.750,11.580,-6.260,0.0000,0.0000,0.0000,0.0000,1.900,4.000,0.0000,0.0000,0.000
31.800,11.580,-5.970,0.0000,0.0000,0.0000,0.0000,0.700,3.400,0.0000,0.0000,0.000
31.850,11.540,-5.760,0.0000,0.0000,0.0000,0.0000,-0.500,5.400,-0.0000,0.0000,0.000
31.900,11.450,-5.680,0.0000,0.0000,0.0000,0.0000,-0.300,-1.600,-0.0000,-0.0000,0.000
31.950,11.370,-5.540,0.0000,0.0000,0.0000,0.0000,-0.900,5.200,-0.0000,0.0000,0.000
32.000,11.300,-5.210,0.0000,0.0000,0.0000,0.0000,0.600,6.600,0.0000,0.0000,0.000
32.050,11.210,-4.730,0.0000,0.0000,0.0000,0.0000,0.400,0.200,0.0000,0.0000,0.000
32.100,11.170,-4.680,0.0000,0.0000,0.0000,0.0000,0.100,-0.400,0.0000,-0.0000,0.000
32.150,11.070,-4.680,0.0000,0.0000,0.0000,0.0000,-1.000,-2.100,-0.0000,-0.0000,0.000
32.200,10.850,-4.750,0.0000,0.0000,0.0000,0.0000,-3.000,-1.600,-0.0000,-0.0000,0.000
32.250,10.650,-4.760,0.0000,0.0000,0.0000,0.0000,-4.000,-0.300,-0.0000,-0.0000,0.000
32.300,10.470,-4.790,0.0000,0.0000,0.0000,0.0000,-3.200,-1.700,-0.0000,-0.0000,0.000
32.350,10.210,-4.860,0.0000,0.0000,0.0000,0.0000,-5.400,-2.000,-0.0000,-0.0000,0.000
32.400,9.920,-4.950,0.0000,0.0000,0.0000,0.0000,-4.600,-3.400,-0.0000,-0.0000,0.000
32.450,9.620,-5.260,0.0000,0.0000,0.0000,0.0000,-3.700,-3.800,-0.0000,-0.0000,0.000
32.500,9.450,-5.360,0.0000,0.0000,0.0000,0.0000,-0.200,-1.500,-0.0000,-0.0000,0.000
32.550,9.450,-5.330,0.0000,0.0000,0.0000,0.0000,2.100,2.400,0.0000,0.0000,0.000
32.600,9.440,-5.040,0.0000,0.0000,0.0000,0.0000,1.700,4.800,0.0000,0.0000,0.000
32.650,9.370,-4.980,0.0000,0.0000,0.0000,0.0000,0.500,-4.600,0.0000,-0.0000,0.000
32.700,9.210,-5.100,0.0000,0.0000,0.0000,0.0000,-0.700,-2.500,-0.0000,-0.0000,0.000
32.750,9.030,-5.350,0.0000,0.0000,0.0000,0.0000,-2.000,-4.800,-0.0000,-0.0000,0.000
32.800,8.790,-5.580,0.0000,0.0000,0.0000,0.0000,-4.000,-4.200,-0.0000,-0.0000,0.000
32.850,8.580,-5.680,0.0000,0.0000,0.0000,0.0000,-2.700,-2.100,-0.0000,-0.0000,0.000
32.900,8.500,-5.730,0.0000,0.0000,0.0000,0.0000,-1.100,-0.900,-0.0000,-0.0000,0.000
32.950,8.490,-5.710,0.0000,0.0000,0.0000,0.0000,-0.700,-0.100,-0.0000,-0.0000,0.000
33.000,8.500,-5.720,0.0000,0.0000,0.0000,0.0000,-1.000,-0.200,-0.0000,-0.0000,0.000
33.050,8.500,-5.740,0.0000,0.0000,0.0000,0.0000,-1.600,-0.100,-0.0000,-0.0000,0.000
33.100,8.480,-5.740,0.0000,0.0000,0.0000,0.0000,-1.300,0.500,-0.0000,0.0000,0.000
33.150,8.520,-5.680,0.0000,0.0000,0.0000,0.0000,0.100,2.500,0.0000,0.0000,0.000
33.200,8.540,-5.560,0.0000,0.0000,0.0000,0.0000,0.200,3.800,0.0000,0.0000,0.000
33.250,8.550,-5.400,0.0000,0.0000,0.0000,0.0000,-0.200,3.200,-0.0000,0.0000,0.000
33.300,8.550,-5.310,0.0000,0.0000,0.0000,0.0000,0.500,1.800,0.0000,0.0000,0.000
33.350,8.510,-5.250,0.0000,0.0000,0.0000,0.0000,-0.100,1.200,-0.0000,0.0000,0.000
33.400,8.440,-5.210,0.0000,0.0000,0.0000,0.0000,0.100,1.500,0.0000,0.0000,0.000
33.450,8.370,-5.090,0.0000,0.0000,0.0000,0.0000,0.900,2.400,0.0000,0.0000,0.000
33.500,8.330,-4.880,0.0000,0.0000,0.0000,0.0000,0.900,1.300,0.0000,0.0000,0.000
33.550,8.300,-4.790,0.0000,0.0000,0.0000,0.0000,0.700,1.200,0.0000,0.0000,0.000
33.600,8.260,-4.710,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,-0.0000,0.0000,0.000
33.650,8.250,-4.680,0.0000,0.0000,0.0000,0.0000,-1.000,0.100,-0.0000,0.0000,0.000
33.700,8.260,-4.670,0.0000,0.0000,0.0000,0.0000,-0.900,0.400,-0.0000,0.0000,0.000
33.750,8.310,-4.670,0.0000,0.0000,0.0000,0.0000,-0.800,-0.100,-0.0000,-0.0000,0.000
33.800,8.330,-4.700,0.0000,0.0000,0.0000,0.0000,0.100,0.000,0.0000,0.0000,0.000
33.850,8.320,-4.720,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.000
33.900,8.290,-4.730,0.0000,0.0000,0.0000,0.0000,0.000,0.300,0.0000,0.0000,0.000
33.950,8.280,-4.730,0.0000,0.0000,0.0000,0.0000,0.100,0.300,0.0000,0.0000,0.000
34.000,8.280,-4.730,0.0000,0.0000,0.0000,0.0000,0.400,0.100,0.0000,0.0000,0.000
34.050,8.290,-4.700,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.000
34.100,8.310,-4.670,0.0000,0.0000,0.0000,0.0000,0.200,0.300,0.0000,0.0000,0.000
34.150,8.330,-4.650,0.0000,0.0000,0.0000,0.0000,0.200,0.400,0.0000,0.0000,0.000
34.200,8.330,-4.640,0.0000,0.0000,0.0000,0.0000,0.300,-0.100,0.0000,-0.0000,0.000
34.250,8.340,-4.630,0.0000,0.0000,0.0000,0.0000,0.500,0.100,0.0000,0.0000,0.000
34.300,8.370,-4.580,0.0000,0.0000,0.0000,0.0000,1.200,1.500,0.0000,0.0000,0.000
34.350,8.400,-4.510,0.0000,0.0000,0.0000,0.0000,1.100,1.600,0.0000,0.0000,0.000
34.400,8.430,-4.470,0.0000,0.0000,0.0000,0.0000,0.400,1.000,0.0000,0.0000,0.000
36.040,-0.210,-0.360,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,-0.0000,0.0000,0.000
