t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
154.550,-211.750,-236.160,15455,154.550,0.0000,0.0000,0.0000,0.0000,-0.400,-0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-211.750,-236.160,-0.400,-0.400,0.0000,0.0000,-211.750,-236.160,-0.400,-0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.550,1776919147.943639,0.765,0,20260423_003907,EG,R,R,R,serial_connected:/dev/cu.usbmodem101,0,1,3,3,200.000,200.000,0.565600,0.460900,0.0100,0.0000,-0.0100,0.0000
154.600,-211.790,-236.200,15460,154.600,0.0000,0.0000,0.0000,0.0000,-0.400,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-211.790,-236.200,-0.400,-0.100,0.0000,0.0000,-211.790,-236.200,-0.400,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.600,1776919147.945126,0.767,1,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.650,-211.820,-236.220,15465,154.650,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-211.820,-236.220,-0.200,0.000,0.0000,0.0000,-211.820,-236.220,-0.200,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.650,1776919148.083255,0.905,2,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.700,-211.820,-236.220,15470,154.700,0.0000,0.0000,0.0000,0.0000,0.400,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-211.820,-236.220,0.400,0.500,0.0000,0.0000,-211.820,-236.220,0.400,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.700,1776919148.084191,0.906,3,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.750,-211.800,-236.210,15475,154.750,0.0000,0.0000,0.0000,0.0000,0.700,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-211.800,-236.210,0.700,0.500,0.0000,0.0000,-211.800,-236.210,0.700,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.750,1776919148.085044,0.907,4,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.800,-211.780,-236.190,15480,154.800,0.0000,0.0000,0.0000,0.0000,0.500,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-211.780,-236.190,0.500,0.500,0.0000,0.0000,-211.780,-236.190,0.500,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.800,1776919148.149130,0.971,5,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.850,-211.740,-236.150,15485,154.850,0.0000,0.0000,0.0000,0.0000,1.200,0.800,0.0000,0.0000,Auto,Raw,Auto,Control,-211.740,-236.150,1.200,0.800,0.0000,0.0000,-211.740,-236.150,1.200,0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.850,1776919148.185147,1.007,6,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.900,-211.700,-236.110,15490,154.900,0.0000,0.0000,0.0000,0.0000,1.000,0.800,0.0000,0.0000,Auto,Raw,Auto,Control,-211.700,-236.110,1.000,0.800,0.0000,0.0000,-211.700,-236.110,1.000,0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.900,1776919148.251248,1.073,7,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
154.950,-211.660,-236.080,15495,154.950,0.0000,0.0000,0.0000,0.0000,0.500,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,-211.660,-236.080,0.500,0.700,0.0000,0.0000,-211.660,-236.080,0.500,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,154.950,1776919148.296687,1.118,8,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.000,-211.630,-236.080,15500,155.000,0.0000,0.0000,0.0000,0.0000,1.400,0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-211.630,-236.080,1.400,0.400,0.0000,0.0000,-211.630,-236.080,1.400,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.000,1776919148.357690,1.179,9,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.050,-211.570,-236.030,15505,155.050,0.0000,0.0000,0.0000,0.0000,1.200,1.000,0.0000,0.0000,Auto,Raw,Auto,Control,-211.570,-236.030,1.200,1.000,0.0000,0.0000,-211.570,-236.030,1.200,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.050,1776919148.403787,1.225,10,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.100,-211.530,-236.020,15510,155.100,0.0000,0.0000,0.0000,0.0000,0.600,0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-211.530,-236.020,0.600,0.400,0.0000,0.0000,-211.530,-236.020,0.600,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.100,1776919148.442102,1.264,11,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.150,-211.490,-235.990,15515,155.150,0.0000,0.0000,0.0000,0.0000,1.300,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,-211.490,-235.990,1.300,0.700,0.0000,0.0000,-211.490,-235.990,1.300,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.150,1776919148.486836,1.308,12,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.200,-211.430,-235.970,15520,155.200,0.0000,0.0000,0.0000,0.0000,0.900,1.000,0.0000,0.0000,Auto,Raw,Auto,Control,-211.430,-235.970,0.900,1.000,0.0000,0.0000,-211.430,-235.970,0.900,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.200,1776919148.548774,1.370,13,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.250,-211.390,-235.960,15525,155.250,0.0000,0.0000,0.0000,0.0000,0.900,0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-211.390,-235.960,0.900,0.400,0.0000,0.0000,-211.390,-235.960,0.900,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.250,1776919148.601695,1.423,14,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.300,-211.330,-235.910,15530,155.300,0.0000,0.0000,0.0000,0.0000,1.400,1.000,0.0000,0.0000,Auto,Raw,Auto,Control,-211.330,-235.910,1.400,1.000,0.0000,0.0000,-211.330,-235.910,1.400,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.300,1776919148.641091,1.463,15,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.350,-211.290,-235.880,15535,155.350,0.0000,0.0000,0.0000,0.0000,1.300,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,-211.290,-235.880,1.300,0.700,0.0000,0.0000,-211.290,-235.880,1.300,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.350,1776919148.702472,1.524,16,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
155.400,-211.210,-235.800,15540,155.400,0.0000,0.0000,0.0000,0.0000,1.200,1.000,0.0000,0.0000,Auto,Raw,Auto,Control,-211.210,-235.800,1.200,1.000,0.0000,0.0000,-211.210,-235.800,1.200,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1.160,155.400,1776919148.752502,1.574,17,20260423_003907,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
