t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
145.900,-98.890,-128.700,0.0000,0.0000,0.0000,0.0000,-1977.800,-2574.000,0.0000,0.0000,0.650
145.950,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,-0.071,0.0000,-0.0000,0.650
146.000,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.050,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.100,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.150,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.200,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.250,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.300,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.350,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.400,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.450,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.500,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.550,-98.890,-128.710,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.600,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,-0.164,-0.164,-0.0000,-0.0000,0.650
146.650,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
146.700,-98.910,-128.720,0.0000,0.0000,0.0000,0.0000,-0.700,0.000,-0.0000,0.0000,0.650
146.750,-98.920,-128.720,0.0000,0.0000,0.0000,0.0000,-0.600,0.000,-0.0000,0.0000,0.650
146.800,-98.940,-128.720,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.650
146.850,-98.930,-128.720,0.0000,0.0000,0.0000,0.0000,0.289,0.000,0.0000,0.0000,0.650
146.900,-98.920,-128.720,0.0000,0.0000,0.0000,0.0000,0.200,0.000,0.0000,0.0000,0.650
146.950,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.687,0.000,0.0000,0.0000,0.650
147.000,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.650
147.050,-98.870,-128.720,0.0000,0.0000,0.0000,0.0000,0.343,0.000,0.0000,0.0000,0.650
147.100,-98.870,-128.720,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.650
147.150,-98.870,-128.720,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.650
147.200,-98.870,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.250,-98.870,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.300,-98.880,-128.720,0.0000,0.0000,0.0000,0.0000,-0.313,0.000,-0.0000,0.0000,0.650
147.350,-98.880,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.400,-98.880,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.450,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,-0.306,0.000,-0.0000,0.0000,0.650
147.500,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.550,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.600,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.650,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,-0.217,0.000,-0.0000,0.0000,0.650
147.700,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.750,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.800,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.850,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.900,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
147.950,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
148.000,-98.900,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
148.050,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,0.266,0.000,0.0000,0.0000,0.650
148.100,-98.890,-128.720,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.650
