t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
22.280,10.090,7.710,-11.3000,-10.0300,0.0000,0.0000,0.100,-0.100,-0.0197,0.0175,1.050
22.340,10.070,7.740,0.0000,0.0000,0.0000,0.0000,-1.000,0.300,-0.0000,0.0000,1.050
22.390,10.070,7.780,0.0000,0.0000,0.0000,0.0000,0.400,-0.300,0.0000,-0.0000,1.050
22.440,10.060,7.740,0.0000,0.0000,0.0000,0.0000,0.100,-0.300,0.0000,-0.0000,1.050
22.490,10.080,7.750,0.0000,0.0000,0.0000,0.0000,-0.200,-0.200,-0.0000,-0.0000,1.050
22.540,10.010,7.740,0.0000,0.0000,0.0000,0.0000,-1.000,-0.800,-0.0000,-0.0000,1.050
22.590,9.970,7.710,0.0000,0.0000,0.0000,0.0000,-0.700,-0.500,-0.0000,-0.0000,1.050
22.640,9.940,7.710,0.0000,0.0000,0.0000,0.0000,-1.300,-0.900,-0.0000,-0.0000,1.050
22.690,9.910,7.690,0.0000,0.0000,0.0000,0.0000,-0.800,-0.700,-0.0000,-0.0000,1.050
22.740,9.830,7.640,0.0000,0.0000,0.0000,0.0000,-0.900,-1.000,-0.0000,-0.0000,1.050
22.790,9.810,7.620,0.0000,0.0000,0.0000,0.0000,-0.900,-0.100,-0.0000,-0.0000,1.050
22.840,9.720,7.590,0.0000,0.0000,0.0000,0.0000,-1.200,-1.100,-0.0000,-0.0000,1.050
22.890,9.660,7.530,0.0000,0.0000,0.0000,0.0000,-1.300,-0.500,-0.0000,-0.0000,1.050
22.940,9.610,7.490,0.0000,0.0000,0.0000,0.0000,-1.000,-0.700,-0.0000,-0.0000,1.050
22.990,9.550,7.470,0.0000,0.0000,0.0000,0.0000,-0.200,-0.500,-0.0000,-0.0000,1.050
23.040,9.520,7.420,0.0000,0.0000,0.0000,0.0000,-0.500,-0.900,-0.0000,-0.0000,1.050
23.090,9.460,7.350,0.0000,0.0000,0.0000,0.0000,-0.800,-1.200,-0.0000,-0.0000,1.050
23.140,9.420,7.300,0.0000,0.0000,0.0000,0.0000,-0.500,-1.200,-0.0000,-0.0000,1.050
23.190,9.420,7.250,0.0000,0.0000,0.0000,0.0000,-0.100,-0.900,-0.0000,-0.0000,1.050
23.240,9.410,7.190,0.0000,0.0000,0.0000,0.0000,-0.500,-1.300,-0.0000,-0.0000,1.050
