t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
138.850,-84.220,-103.980,0.0000,0.0000,0.0000,0.0000,-11.900,-5.200,-0.0000,-0.0000,2.940
138.910,-84.280,-104.020,0.0000,0.0000,0.0000,0.0000,7.600,-4.300,0.0000,-0.0000,2.940
138.960,-83.820,-103.760,0.0000,0.0000,0.0000,0.0000,7.700,-4.500,0.0000,-0.0000,2.940
139.010,-83.850,-103.820,0.0000,0.0000,0.0000,0.0000,-5.200,-6.600,-0.0000,-0.0000,2.940
139.060,-84.400,-103.700,0.0000,0.0000,0.0000,0.0000,-9.600,0.000,-0.0000,0.0000,2.940
139.110,-84.590,-103.610,0.0000,0.0000,0.0000,0.0000,-2.100,-3.100,-0.0000,-0.0000,2.940
139.160,-84.510,-103.470,0.0000,0.0000,0.0000,0.0000,-1.300,-2.100,-0.0000,-0.0000,2.940
139.210,-84.780,-103.390,0.0000,0.0000,0.0000,0.0000,-4.200,-2.700,-0.0000,-0.0000,2.940
139.260,-85.020,-103.390,0.0000,0.0000,0.0000,0.0000,-4.200,-3.400,-0.0000,-0.0000,2.940
139.310,-85.260,-103.310,0.0000,0.0000,0.0000,0.0000,-6.800,0.100,-0.0000,0.0000,2.940
139.360,-85.510,-103.130,0.0000,0.0000,0.0000,0.0000,-1.500,0.500,-0.0000,0.0000,2.940
139.410,-85.480,-102.940,0.0000,0.0000,0.0000,0.0000,0.200,-1.300,0.0000,-0.0000,2.940
139.460,-85.480,-102.750,0.0000,0.0000,0.0000,0.0000,-1.500,0.700,-0.0000,0.0000,2.940
139.510,-85.580,-102.540,0.0000,0.0000,0.0000,0.0000,-0.400,0.800,-0.0000,0.0000,2.940
139.560,-85.590,-102.440,0.0000,0.0000,0.0000,0.0000,-0.500,-1.500,-0.0000,-0.0000,2.940
139.610,-85.610,-102.440,0.0000,0.0000,0.0000,0.0000,-0.600,-1.300,-0.0000,-0.0000,2.940
139.660,-85.610,-102.490,0.0000,0.0000,0.0000,0.0000,0.500,-0.500,0.0000,-0.0000,2.940
139.710,-85.590,-102.550,0.0000,0.0000,0.0000,0.0000,0.200,0.000,0.0000,0.0000,2.940
139.760,-85.580,-102.630,0.0000,0.0000,0.0000,0.0000,-0.400,0.100,-0.0000,0.0000,2.940
139.810,-85.610,-102.710,0.0000,0.0000,0.0000,0.0000,-0.500,0.200,-0.0000,0.0000,2.940
139.860,-85.600,-102.790,0.0000,0.0000,0.0000,0.0000,0.600,-1.000,0.0000,-0.0000,2.940
139.910,-85.610,-102.870,0.0000,0.0000,0.0000,0.0000,-0.200,-0.800,-0.0000,-0.0000,2.940
139.960,-85.600,-102.900,0.0000,0.0000,0.0000,0.0000,0.500,0.200,0.0000,0.0000,2.940
140.010,-85.570,-102.890,0.0000,0.0000,0.0000,0.0000,0.300,0.400,0.0000,0.0000,2.940
140.060,-85.570,-102.910,0.0000,0.0000,0.0000,0.0000,-0.400,0.100,-0.0000,0.0000,2.940
140.110,-85.560,-102.930,0.0000,0.0000,0.0000,0.0000,0.200,-0.400,0.0000,-0.0000,2.940
140.160,-85.570,-102.960,0.0000,0.0000,0.0000,0.0000,-0.500,-0.400,-0.0000,-0.0000,2.940
140.210,-85.590,-103.010,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,2.940
140.260,-85.600,-103.050,0.0000,0.0000,0.0000,0.0000,0.200,0.300,0.0000,0.0000,2.940
140.310,-85.580,-103.070,0.0000,0.0000,0.0000,0.0000,0.500,0.200,0.0000,0.0000,2.940
140.360,-85.560,-103.100,0.0000,0.0000,0.0000,0.0000,0.100,-0.200,0.0000,-0.0000,2.940
140.410,-85.570,-103.160,0.0000,0.0000,0.0000,0.0000,-0.300,0.000,-0.0000,0.0000,2.940
140.460,-85.550,-103.140,0.0000,0.0000,0.0000,0.0000,0.100,1.100,0.0000,0.0000,2.940
140.510,-85.560,-103.170,0.0000,0.0000,0.0000,0.0000,-0.100,-0.300,-0.0000,-0.0000,2.940
140.560,-85.550,-103.240,0.0000,0.0000,0.0000,0.0000,0.100,-0.500,0.0000,-0.0000,2.940
140.610,-85.570,-103.290,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,2.940
140.660,-85.560,-103.300,0.0000,0.0000,0.0000,0.0000,0.200,0.100,0.0000,0.0000,2.940
140.710,-85.560,-103.300,0.0000,0.0000,0.0000,0.0000,0.100,0.400,0.0000,0.0000,2.940
140.760,-85.550,-103.310,0.0000,0.0000,0.0000,0.0000,0.100,-0.100,0.0000,-0.0000,2.940
140.810,-85.540,-103.330,0.0000,0.0000,0.0000,0.0000,0.300,0.100,0.0000,0.0000,2.940
140.860,-85.520,-103.360,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,2.940
140.910,-85.540,-103.380,0.0000,0.0000,0.0000,0.0000,-0.300,-0.400,-0.0000,-0.0000,2.940
140.960,-85.550,-103.420,0.0000,0.0000,0.0000,0.0000,0.100,-0.700,0.0000,-0.0000,2.940
