t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
17.610,-68.050,-62.560,1761,17.610,0.0000,0.0000,0.0000,0.0000,106.200,-20.800,0.0000,0.0000,Auto,Raw,Auto,Control,-68.050,-62.560,106.200,-20.800,0.0000,0.0000,-68.050,-62.560,106.200,-20.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.610,1776899014.675256,5.447,0,20260422_190329,EG,,,,serial_connected:/dev/cu.usbmodem101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.640,-36.610,-44.030,1764,17.640,0.0000,0.0000,0.0000,0.0000,-11.000,-6.700,0.0000,0.0000,Auto,Raw,Auto,Control,-36.610,-44.030,-11.000,-6.700,0.0000,0.0000,-36.610,-44.030,-11.000,-6.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.640,1776899014.820515,5.592,1,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.690,-37.430,-44.010,1769,17.690,0.0000,0.0000,0.0000,0.0000,-17.000,-17.800,0.0000,0.0000,Auto,Raw,Auto,Control,-37.430,-44.010,-17.000,-17.800,0.0000,0.0000,-37.430,-44.010,-17.000,-17.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.690,1776899014.821369,5.593,2,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.740,-37.750,-44.710,1774,17.740,0.0000,0.0000,0.0000,0.0000,-4.200,-9.100,0.0000,0.0000,Auto,Raw,Auto,Control,-37.750,-44.710,-4.200,-9.100,0.0000,0.0000,-37.750,-44.710,-4.200,-9.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.740,1776899014.822203,5.594,3,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.790,-38.210,-45.230,1779,17.790,0.0000,0.0000,0.0000,0.0000,-6.600,-7.100,0.0000,0.0000,Auto,Raw,Auto,Control,-38.210,-45.230,-6.600,-7.100,0.0000,0.0000,-38.210,-45.230,-6.600,-7.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.790,1776899014.864899,5.637,4,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.840,-38.570,-45.720,1784,17.840,0.0000,0.0000,0.0000,0.0000,8.800,-11.500,0.0000,0.0000,Auto,Raw,Auto,Control,-38.570,-45.720,8.800,-11.500,0.0000,0.0000,-38.570,-45.720,8.800,-11.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.840,1776899014.907601,5.679,5,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.890,-37.770,-46.190,1789,17.890,0.0000,0.0000,0.0000,0.0000,12.500,-35.300,0.0000,0.0000,Auto,Raw,Auto,Control,-37.770,-46.190,12.500,-35.300,0.0000,0.0000,-37.770,-46.190,12.500,-35.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.890,1776899014.949232,5.721,6,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.940,-37.680,-47.630,1794,17.940,0.0000,0.0000,0.0000,0.0000,-5.600,-3.400,0.0000,0.0000,Auto,Raw,Auto,Control,-37.680,-47.630,-5.600,-3.400,0.0000,0.0000,-37.680,-47.630,-5.600,-3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.940,1776899015.017250,5.789,7,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
17.990,-37.310,-47.850,1799,17.990,0.0000,0.0000,0.0000,0.0000,16.500,-6.500,0.0000,0.0000,Auto,Raw,Auto,Control,-37.310,-47.850,16.500,-6.500,0.0000,0.0000,-37.310,-47.850,16.500,-6.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,17.990,1776899015.054268,5.826,8,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.040,-37.050,-48.030,1804,18.040,0.0000,0.0000,0.0000,0.0000,5.500,-3.900,0.0000,0.0000,Auto,Raw,Auto,Control,-37.050,-48.030,5.500,-3.900,0.0000,0.0000,-37.050,-48.030,5.500,-3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.040,1776899015.098963,5.871,9,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.090,-36.770,-48.240,1809,18.090,0.0000,0.0000,0.0000,0.0000,5.400,-14.700,0.0000,0.0000,Auto,Raw,Auto,Control,-36.770,-48.240,5.400,-14.700,0.0000,0.0000,-36.770,-48.240,5.400,-14.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.090,1776899015.146943,5.919,10,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.140,-36.390,-48.850,1814,18.140,0.0000,0.0000,0.0000,0.0000,3.100,-14.200,0.0000,0.0000,Auto,Raw,Auto,Control,-36.390,-48.850,3.100,-14.200,0.0000,0.0000,-36.390,-48.850,3.100,-14.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.140,1776899015.180977,5.953,11,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.190,-36.380,-49.230,1819,18.190,0.0000,0.0000,0.0000,0.0000,1.600,-7.800,0.0000,0.0000,Auto,Raw,Auto,Control,-36.380,-49.230,1.600,-7.800,0.0000,0.0000,-36.380,-49.230,1.600,-7.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.190,1776899015.241282,6.013,12,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.240,-36.520,-49.450,1824,18.240,0.0000,0.0000,0.0000,0.0000,-2.700,-9.200,0.0000,0.0000,Auto,Raw,Auto,Control,-36.520,-49.450,-2.700,-9.200,0.0000,0.0000,-36.520,-49.450,-2.700,-9.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.240,1776899015.283479,6.055,13,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.290,-36.570,-49.570,1829,18.290,0.0000,0.0000,0.0000,0.0000,-4.900,30.600,0.0000,0.0000,Auto,Raw,Auto,Control,-36.570,-49.570,-4.900,30.600,0.0000,0.0000,-36.570,-49.570,-4.900,30.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.290,1776899015.340773,6.113,14,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.340,-36.550,-49.350,1834,18.340,0.0000,0.0000,0.0000,0.0000,-7.000,-24.700,0.0000,0.0000,Auto,Raw,Auto,Control,-36.550,-49.350,-7.000,-24.700,0.0000,0.0000,-36.550,-49.350,-7.000,-24.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.340,1776899015.394169,6.166,15,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.390,-37.130,-50.030,1839,18.390,0.0000,0.0000,0.0000,0.0000,-6.300,-27.700,0.0000,0.0000,Auto,Raw,Auto,Control,-37.130,-50.030,-6.300,-27.700,0.0000,0.0000,-37.130,-50.030,-6.300,-27.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.390,1776899015.438487,6.210,16,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.440,-37.030,-50.480,1844,18.440,0.0000,0.0000,0.0000,0.0000,-4.500,-2.600,0.0000,0.0000,Auto,Raw,Auto,Control,-37.030,-50.480,-4.500,-2.600,0.0000,0.0000,-37.030,-50.480,-4.500,-2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.440,1776899015.483160,6.255,17,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.490,-36.910,-50.200,1849,18.490,0.0000,0.0000,0.0000,0.0000,6.200,-23.800,0.0000,0.0000,Auto,Raw,Auto,Control,-36.910,-50.200,6.200,-23.800,0.0000,0.0000,-36.910,-50.200,6.200,-23.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.490,1776899015.539490,6.311,18,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.540,-36.670,-50.500,1854,18.540,0.0000,0.0000,0.0000,0.0000,8.800,-6.800,0.0000,0.0000,Auto,Raw,Auto,Control,-36.670,-50.500,8.800,-6.800,0.0000,0.0000,-36.670,-50.500,8.800,-6.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.540,1776899015.582428,6.354,19,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.590,-35.560,-50.540,1859,18.590,0.0000,0.0000,0.0000,0.0000,21.000,-6.700,0.0000,0.0000,Auto,Raw,Auto,Control,-35.560,-50.540,21.000,-6.700,0.0000,0.0000,-35.560,-50.540,21.000,-6.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.590,1776899015.639273,6.411,20,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.640,-35.260,-50.570,1864,18.640,0.0000,0.0000,0.0000,0.0000,0.200,7.400,0.0000,0.0000,Auto,Raw,Auto,Control,-35.260,-50.570,0.200,7.400,0.0000,0.0000,-35.260,-50.570,0.200,7.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.640,1776899015.682155,6.454,21,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.690,-35.090,-50.250,1869,18.690,0.0000,0.0000,0.0000,0.0000,13.800,3.000,0.0000,0.0000,Auto,Raw,Auto,Control,-35.090,-50.250,13.800,3.000,0.0000,0.0000,-35.090,-50.250,13.800,3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.690,1776899015.740101,6.512,22,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.740,-34.260,-50.010,1874,18.740,0.0000,0.0000,0.0000,0.0000,10.900,7.600,0.0000,0.0000,Auto,Raw,Auto,Control,-34.260,-50.010,10.900,7.600,0.0000,0.0000,-34.260,-50.010,10.900,7.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.740,1776899015.782192,6.554,23,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.790,-33.760,-49.540,1879,18.790,0.0000,0.0000,0.0000,0.0000,2.200,21.900,0.0000,0.0000,Auto,Raw,Auto,Control,-33.760,-49.540,2.200,21.900,0.0000,0.0000,-33.760,-49.540,2.200,21.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.790,1776899015.839591,6.611,24,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.840,-33.560,-49.140,1884,18.840,0.0000,0.0000,0.0000,0.0000,9.900,-0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-33.560,-49.140,9.900,-0.400,0.0000,0.0000,-33.560,-49.140,9.900,-0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.840,1776899015.882317,6.654,25,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.890,-33.080,-48.680,1889,18.890,0.0000,0.0000,0.0000,0.0000,2.600,6.900,0.0000,0.0000,Auto,Raw,Auto,Control,-33.080,-48.680,2.600,6.900,0.0000,0.0000,-33.080,-48.680,2.600,6.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.890,1776899015.939466,6.711,26,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.940,-33.270,-48.370,1894,18.940,0.0000,0.0000,0.0000,0.0000,-8.500,8.300,0.0000,0.0000,Auto,Raw,Auto,Control,-33.270,-48.370,-8.500,8.300,0.0000,0.0000,-33.270,-48.370,-8.500,8.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.940,1776899015.983688,6.755,27,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
18.990,-33.390,-48.060,1899,18.990,0.0000,0.0000,0.0000,0.0000,21.700,23.900,0.0000,0.0000,Auto,Raw,Auto,Control,-33.390,-48.060,21.700,23.900,0.0000,0.0000,-33.390,-48.060,21.700,23.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,18.990,1776899016.040359,6.812,28,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.040,-32.690,-45.540,1904,19.040,0.0000,0.0000,0.0000,0.0000,25.600,80.200,0.0000,0.0000,Auto,Raw,Auto,Control,-32.690,-45.540,25.600,80.200,0.0000,0.0000,-32.690,-45.540,25.600,80.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.040,1776899016.076235,6.848,29,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.090,-22.580,-39.520,1909,19.090,0.0000,0.0000,0.0000,0.0000,318.800,178.700,0.0000,0.0000,Auto,Raw,Auto,Control,-22.580,-39.520,318.800,178.700,0.0000,0.0000,-22.580,-39.520,318.800,178.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.090,1776899016.150885,6.923,30,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.140,-14.470,-30.240,1914,19.140,0.0000,0.0000,0.0000,0.0000,270.400,198.900,0.0000,0.0000,Auto,Raw,Auto,Control,-14.470,-30.240,270.400,198.900,0.0000,0.0000,-14.470,-30.240,270.400,198.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.140,1776899016.211829,6.984,31,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.190,-1.720,-21.400,1919,19.190,0.0000,0.0000,0.0000,0.0000,161.600,121.500,0.0000,0.0000,Auto,Raw,Auto,Control,-1.720,-21.400,161.600,121.500,0.0000,0.0000,-1.720,-21.400,161.600,121.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.190,1776899016.270672,7.042,32,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.240,0.830,-16.680,1924,19.240,0.0000,0.0000,0.0000,0.0000,28.100,87.200,0.0000,0.0000,Auto,Raw,Auto,Control,0.830,-16.680,28.100,87.200,0.0000,0.0000,0.830,-16.680,28.100,87.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.240,1776899016.308301,7.080,33,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.290,1.650,-15.980,1929,19.290,0.0000,0.0000,0.0000,0.0000,1.800,70.900,0.0000,0.0000,Auto,Raw,Auto,Control,1.650,-15.980,1.800,70.900,0.0000,0.0000,1.650,-15.980,1.800,70.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.290,1776899016.353768,7.126,34,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
19.340,0.970,-13.320,1934,19.340,0.0000,0.0000,0.0000,0.0000,-49.400,-8.400,0.0000,0.0000,Auto,Raw,Auto,Control,0.970,-13.320,-49.400,-8.400,0.0000,0.0000,0.970,-13.320,-49.400,-8.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,19.340,1776899016.374899,7.147,35,20260422_190329,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
