t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
25.770,-97.000,-97.000,2577,25.770,0.0000,0.0000,0.0000,0.0000,-1940.000,-1940.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,-1940.000,-1940.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,25.770,1776897748.011952,17.184,0,20260422_184210,EG,,,,serial_connected:/dev/cu.usbmodem101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.820,-97.000,-97.000,2582,25.820,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,25.820,1776897748.149610,17.322,1,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.870,-97.000,-97.000,2587,25.870,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,25.870,1776897748.150641,17.323,2,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.920,-97.000,-97.000,2592,25.920,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,25.920,1776897748.151566,17.324,3,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.970,-97.000,-97.000,2597,25.970,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,25.970,1776897748.192795,17.365,4,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.020,-97.000,-97.000,2602,26.020,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.020,1776897748.253263,17.425,5,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.070,-97.000,-97.000,2607,26.070,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.070,1776897748.292189,17.464,6,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.120,-97.000,-97.000,2612,26.120,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.120,1776897748.354275,17.526,7,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.170,-97.000,-97.000,2617,26.170,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.170,1776897748.392907,17.565,8,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.220,-97.000,-97.000,2622,26.220,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.220,1776897748.455891,17.628,9,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.270,-97.000,-97.000,2627,26.270,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.270,1776897748.495294,17.667,10,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.320,-97.000,-97.000,2632,26.320,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.320,1776897748.566471,17.739,11,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.370,-97.000,-97.000,2637,26.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.370,1776897748.616703,17.789,12,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.420,-97.000,-97.000,2642,26.420,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Physical,-97.000,-97.000,0.000,0.000,0.0000,0.0000,-97.000,-97.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.000,26.420,1776897748.658687,17.831,13,20260422_184210,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
