t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
385.730,3.820,2.100,0.0000,0.0000,0.0000,0.0000,0.200,0.600,0.0000,0.0000,0.760
385.800,3.830,2.090,0.0000,0.0000,0.0000,0.0000,-0.100,-0.200,-0.0000,-0.0000,0.760
385.850,3.820,2.100,0.0000,0.0000,0.0000,0.0000,-0.100,0.400,-0.0000,0.0000,0.760
385.900,3.830,2.100,0.0000,0.0000,0.0000,0.0000,0.100,0.200,0.0000,0.0000,0.760
385.950,3.820,2.100,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,-0.0000,0.0000,0.760
386.000,3.810,2.100,0.0000,0.0000,0.0000,0.0000,0.200,0.000,0.0000,0.0000,0.760
386.050,3.820,2.110,0.0000,0.0000,0.0000,0.0000,0.200,0.700,0.0000,0.0000,0.760
386.100,3.820,2.120,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,-0.0000,0.760
386.150,3.820,2.110,0.0000,0.0000,0.0000,0.0000,0.200,0.200,0.0000,0.0000,0.760
386.200,3.840,2.120,0.0000,0.0000,0.0000,0.0000,0.400,0.500,0.0000,0.0000,0.760
386.250,3.860,2.140,0.0000,0.0000,0.0000,0.0000,0.000,0.500,0.0000,0.0000,0.760
386.300,3.870,2.150,0.0000,0.0000,0.0000,0.0000,0.100,-0.100,0.0000,-0.0000,0.760
386.350,3.860,2.140,0.0000,0.0000,0.0000,0.0000,-0.200,0.100,-0.0000,0.0000,0.760
386.400,3.860,2.140,0.0000,0.0000,0.0000,0.0000,0.100,0.300,0.0000,0.0000,0.760
386.450,3.880,2.150,0.0000,0.0000,0.0000,0.0000,0.100,0.200,0.0000,0.0000,0.760
386.500,3.860,2.160,0.0000,0.0000,0.0000,0.0000,-0.400,0.200,-0.0000,0.0000,0.760
386.550,3.850,2.140,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.760
386.600,3.880,2.150,0.0000,0.0000,0.0000,0.0000,0.000,0.300,0.0000,0.0000,0.760
386.650,3.880,2.150,0.0000,0.0000,0.0000,0.0000,0.200,-0.100,0.0000,-0.0000,0.760
386.700,3.890,2.160,0.0000,0.0000,0.0000,0.0000,0.200,0.300,0.0000,0.0000,0.760
386.750,3.910,2.180,0.0000,0.0000,0.0000,0.0000,0.500,0.100,0.0000,0.0000,0.760
386.800,3.920,2.180,0.0000,0.0000,0.0000,0.0000,0.000,0.400,0.0000,0.0000,0.760
386.850,3.930,2.190,0.0000,0.0000,0.0000,0.0000,-0.100,0.100,-0.0000,0.0000,0.760
386.900,3.910,2.140,0.0000,0.0000,0.0000,0.0000,-0.900,-0.700,-0.0000,-0.0000,0.760
386.950,3.850,2.120,0.0000,0.0000,0.0000,0.0000,-0.500,-0.300,-0.0000,-0.0000,0.760
387.000,3.830,2.100,0.0000,0.0000,0.0000,0.0000,-0.200,0.100,-0.0000,0.0000,0.760
387.050,3.820,2.100,0.0000,0.0000,0.0000,0.0000,-0.100,0.100,-0.0000,0.0000,0.760
387.100,3.790,2.080,0.0000,0.0000,0.0000,0.0000,-0.600,-0.200,-0.0000,-0.0000,0.760
387.150,3.780,2.070,0.0000,0.0000,0.0000,0.0000,0.000,0.100,0.0000,0.0000,0.760
387.200,3.770,2.090,0.0000,0.0000,0.0000,0.0000,-0.100,0.200,-0.0000,0.0000,0.760
387.250,3.760,2.080,0.0000,0.0000,0.0000,0.0000,-0.100,0.100,-0.0000,0.0000,0.760
387.300,3.740,2.070,0.0000,0.0000,0.0000,0.0000,-0.200,0.200,-0.0000,0.0000,0.760
387.350,3.740,2.090,0.0000,0.0000,0.0000,0.0000,0.000,0.300,0.0000,0.0000,0.760
387.400,3.730,2.070,0.0000,0.0000,0.0000,0.0000,-0.400,0.200,-0.0000,0.0000,0.760
387.450,3.710,2.060,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.760
387.500,3.700,2.050,0.0000,0.0000,0.0000,0.0000,-0.100,0.200,-0.0000,0.0000,0.760
387.550,3.680,2.130,0.0000,0.0000,0.0000,0.0000,0.800,3.800,0.0000,0.0000,0.760
387.600,3.640,2.100,0.0000,0.0000,0.0000,0.0000,-0.900,1.700,-0.0000,0.0000,0.760
387.650,3.750,2.180,0.0000,0.0000,0.0000,0.0000,2.600,1.800,0.0000,0.0000,0.760
387.700,3.820,2.280,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.760
387.750,3.760,2.180,0.0000,0.0000,0.0000,0.0000,-1.600,-2.200,-0.0000,-0.0000,0.760
387.800,3.710,2.120,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.760
387.850,3.810,2.170,0.0000,0.0000,0.0000,0.0000,2.000,1.700,0.0000,0.0000,0.760
387.900,3.820,2.220,0.0000,0.0000,0.0000,0.0000,-0.400,0.700,-0.0000,0.0000,0.760
387.950,3.770,2.120,0.0000,0.0000,0.0000,0.0000,-1.200,-1.600,-0.0000,-0.0000,0.760
388.000,3.710,2.090,0.0000,0.0000,0.0000,0.0000,-0.400,-0.300,-0.0000,-0.0000,0.760
388.050,3.730,2.110,0.0000,0.0000,0.0000,0.0000,0.400,0.500,0.0000,0.0000,0.760
388.100,3.720,2.160,0.0000,0.0000,0.0000,0.0000,2.500,3.600,0.0000,0.0000,0.760
388.150,3.680,2.140,0.0000,0.0000,0.0000,0.0000,-0.200,-0.500,-0.0000,-0.0000,0.760
388.200,3.680,2.040,0.0000,0.0000,0.0000,0.0000,-2.100,-2.500,-0.0000,-0.0000,0.760
388.250,3.760,2.120,0.0000,0.0000,0.0000,0.0000,3.800,4.000,0.0000,0.0000,0.760
388.300,3.820,2.110,0.0000,0.0000,0.0000,0.0000,-1.600,-4.000,-0.0000,-0.0000,0.760
388.350,3.690,1.930,0.0000,0.0000,0.0000,0.0000,0.700,-2.000,0.0000,-0.0000,0.760
388.400,3.810,1.970,0.0000,0.0000,0.0000,0.0000,2.200,1.800,0.0000,0.0000,0.760
388.450,3.810,1.990,0.0000,0.0000,0.0000,0.0000,-1.200,-0.700,-0.0000,-0.0000,0.760
388.500,3.770,1.870,0.0000,0.0000,0.0000,0.0000,0.800,-0.200,0.0000,-0.0000,0.760
388.550,3.850,1.890,0.0000,0.0000,0.0000,0.0000,1.000,0.300,0.0000,0.0000,0.760
388.600,3.810,1.870,0.0000,0.0000,0.0000,0.0000,-0.900,-0.800,-0.0000,-0.0000,0.760
388.650,3.780,1.810,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,0.760
388.700,3.790,1.810,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.760
388.750,3.740,1.820,0.0000,0.0000,0.0000,0.0000,0.200,2.000,0.0000,0.0000,0.760
388.800,3.750,1.830,0.0000,0.0000,0.0000,0.0000,2.000,-0.200,0.0000,-0.0000,0.760
388.850,3.830,1.880,0.0000,0.0000,0.0000,0.0000,0.700,-0.700,0.0000,-0.0000,0.760
388.900,3.870,1.890,0.0000,0.0000,0.0000,0.0000,0.900,1.100,0.0000,0.0000,0.760
388.950,3.880,1.920,0.0000,0.0000,0.0000,0.0000,-0.100,-0.600,-0.0000,-0.0000,0.760
389.000,3.900,1.850,0.0000,0.0000,0.0000,0.0000,0.500,-0.100,0.0000,-0.0000,0.760
389.050,3.970,1.870,0.0000,0.0000,0.0000,0.0000,1.200,0.600,0.0000,0.0000,0.760
389.100,4.030,1.890,0.0000,0.0000,0.0000,0.0000,0.900,0.100,0.0000,0.0000,0.760
389.150,4.050,1.890,0.0000,0.0000,0.0000,0.0000,0.700,0.400,0.0000,0.0000,0.760
389.200,4.060,1.920,0.0000,0.0000,0.0000,0.0000,0.300,0.700,0.0000,0.0000,0.760
389.250,4.070,1.960,0.0000,0.0000,0.0000,0.0000,0.700,1.400,0.0000,0.0000,0.760
389.300,4.130,2.080,0.0000,0.0000,0.0000,0.0000,1.400,3.800,0.0000,0.0000,0.760
389.350,4.210,2.310,0.0000,0.0000,0.0000,0.0000,2.300,4.800,0.0000,0.0000,0.760
389.400,4.340,2.540,0.0000,0.0000,0.0000,0.0000,2.900,5.100,0.0000,0.0000,0.760
389.450,4.480,2.730,0.0000,0.0000,0.0000,0.0000,2.100,3.400,0.0000,0.0000,0.760
389.500,4.560,2.860,0.0000,0.0000,0.0000,0.0000,1.400,2.000,0.0000,0.0000,0.760
389.550,4.620,2.940,0.0000,0.0000,0.0000,0.0000,0.400,1.200,0.0000,0.0000,0.760
389.600,4.650,2.970,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,0.760
389.650,4.660,2.960,0.0000,0.0000,0.0000,0.0000,-0.300,0.100,-0.0000,0.0000,0.760
389.700,4.650,3.000,0.0000,0.0000,0.0000,0.0000,-0.101,0.403,-0.0000,0.0000,0.760
389.750,4.660,2.980,0.0000,0.0000,0.0000,0.0000,-0.600,-0.900,-0.0000,-0.0000,0.760
389.800,4.540,2.920,0.0000,0.0000,0.0000,0.0000,-3.400,-1.200,-0.0000,-0.0000,0.760
389.850,4.430,2.790,0.0000,0.0000,0.0000,0.0000,0.200,-1.800,0.0000,-0.0000,0.760
389.900,4.460,2.750,0.0000,0.0000,0.0000,0.0000,0.100,0.500,0.0000,0.0000,0.760
389.950,4.490,2.760,0.0000,0.0000,0.0000,0.0000,0.600,0.000,0.0000,0.0000,0.760
390.000,4.560,2.720,0.0000,0.0000,0.0000,0.0000,0.700,-0.400,0.0000,-0.0000,0.760
390.050,4.540,2.710,0.0000,0.0000,0.0000,0.0000,-0.800,-1.000,-0.0000,-0.0000,0.760
390.100,4.500,2.640,0.0000,0.0000,0.0000,0.0000,-0.900,-1.400,-0.0000,-0.0000,0.760
390.150,4.430,2.590,0.0000,0.0000,0.0000,0.0000,-0.900,-1.200,-0.0000,-0.0000,0.760
390.200,4.400,2.560,0.0000,0.0000,0.0000,0.0000,-0.600,-0.700,-0.0000,-0.0000,0.760
390.250,4.360,2.510,0.0000,0.0000,0.0000,0.0000,-1.000,-0.500,-0.0000,-0.0000,0.760
390.300,4.330,2.460,0.0000,0.0000,0.0000,0.0000,-0.500,-0.700,-0.0000,-0.0000,0.760
390.350,4.290,2.440,0.0000,0.0000,0.0000,0.0000,-0.700,-0.500,-0.0000,-0.0000,0.760
390.400,4.260,2.400,0.0000,0.0000,0.0000,0.0000,-0.300,-0.100,-0.0000,-0.0000,0.760
390.450,4.250,2.390,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.760
390.500,4.200,2.390,0.0000,0.0000,0.0000,0.0000,1.200,1.600,0.0000,0.0000,0.760
390.550,4.180,2.390,0.0000,0.0000,0.0000,0.0000,1.800,0.100,0.0000,0.0000,0.760
390.600,4.230,2.330,0.0000,0.0000,0.0000,0.0000,-0.200,-0.900,-0.0000,-0.0000,0.760
390.650,4.240,2.390,0.0000,0.0000,0.0000,0.0000,0.500,2.000,0.0000,0.0000,0.760
390.700,4.180,2.340,0.0000,0.0000,0.0000,0.0000,-2.500,-2.100,-0.0000,-0.0000,0.760
390.750,4.170,2.220,0.0000,0.0000,0.0000,0.0000,0.900,-0.400,0.0000,-0.0000,0.760
390.800,4.220,2.280,0.0000,0.0000,0.0000,0.0000,0.100,0.700,0.0000,0.0000,0.760
390.850,4.180,2.230,0.0000,0.0000,0.0000,0.0000,-1.600,-2.400,-0.0000,-0.0000,0.760
390.900,4.140,2.140,0.0000,0.0000,0.0000,0.0000,-0.600,-1.800,-0.0000,-0.0000,0.760
390.950,4.160,2.170,0.0000,0.0000,0.0000,0.0000,0.600,0.900,0.0000,0.0000,0.760
391.000,4.160,2.160,0.0000,0.0000,0.0000,0.0000,-0.500,-1.000,-0.0000,-0.0000,0.760
391.050,4.110,2.100,0.0000,0.0000,0.0000,0.0000,-0.200,-0.300,-0.0000,-0.0000,0.760
391.100,4.100,2.090,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,0.760
391.150,4.090,2.050,0.0000,0.0000,0.0000,0.0000,-0.300,-0.300,-0.0000,-0.0000,0.760
391.200,4.070,2.030,0.0000,0.0000,0.0000,0.0000,-0.100,0.200,-0.0000,0.0000,0.760
391.250,4.100,2.050,0.0000,0.0000,0.0000,0.0000,0.700,0.500,0.0000,0.0000,0.760
391.300,4.100,2.060,0.0000,0.0000,0.0000,0.0000,-0.800,0.100,-0.0000,0.0000,0.760
391.350,4.070,2.060,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,0.760
391.400,4.100,2.060,0.0000,0.0000,0.0000,0.0000,0.400,-0.100,0.0000,-0.0000,0.760
391.450,4.080,2.090,0.0000,0.0000,0.0000,0.0000,-0.400,0.500,-0.0000,0.0000,0.760
391.500,4.090,2.100,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,0.760
391.550,4.110,2.110,0.0000,0.0000,0.0000,0.0000,0.100,0.400,0.0000,0.0000,0.760
391.600,4.100,2.100,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.760
391.650,4.090,2.090,0.0000,0.0000,0.0000,0.0000,0.900,0.500,0.0000,0.0000,0.760
391.700,4.100,2.110,0.0000,0.0000,0.0000,0.0000,0.100,0.500,0.0000,0.0000,0.760
391.750,4.110,2.110,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,0.760
391.800,4.110,2.130,0.0000,0.0000,0.0000,0.0000,0.000,0.500,0.0000,0.0000,0.760
391.850,4.110,2.140,0.0000,0.0000,0.0000,0.0000,-0.300,0.000,-0.0000,0.0000,0.760
391.900,4.110,2.140,0.0000,0.0000,0.0000,0.0000,0.100,0.400,0.0000,0.0000,0.760
391.950,4.150,2.160,0.0000,0.0000,0.0000,0.0000,0.600,0.400,0.0000,0.0000,0.760
392.000,4.150,2.170,0.0000,0.0000,0.0000,0.0000,0.100,0.400,0.0000,0.0000,0.760
392.050,4.160,2.180,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,0.760
392.100,4.160,2.160,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.760
392.150,4.150,2.160,0.0000,0.0000,0.0000,0.0000,-0.372,0.000,-0.0000,0.0000,0.760
392.200,4.150,2.180,0.0000,0.0000,0.0000,0.0000,0.000,0.500,0.0000,0.0000,0.760
392.250,4.160,2.200,0.0000,0.0000,0.0000,0.0000,0.400,0.400,0.0000,0.0000,0.760
392.300,4.160,2.190,0.0000,0.0000,0.0000,0.0000,-0.200,-0.200,-0.0000,-0.0000,0.760
392.350,4.160,2.190,0.0000,0.0000,0.0000,0.0000,0.300,0.500,0.0000,0.0000,0.760
392.400,4.170,2.200,0.0000,0.0000,0.0000,0.0000,0.300,0.500,0.0000,0.0000,0.760
392.450,4.200,2.220,0.0000,0.0000,0.0000,0.0000,0.200,0.100,0.0000,0.0000,0.760
392.500,4.210,2.220,0.0000,0.0000,0.0000,0.0000,0.200,0.200,0.0000,0.0000,0.760
392.550,4.220,2.220,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,0.760
392.600,4.210,2.210,0.0000,0.0000,0.0000,0.0000,0.200,-0.200,0.0000,-0.0000,0.760
