t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
482.710,0.910,-0.430,48271,482.710,0.0000,0.0000,0.0000,0.0000,0.600,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,0.910,-0.430,0.600,0.100,0.0000,0.0000,0.910,-0.430,0.600,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.710,1776915328.314641,0.692,0,20260422_233527,EG,R,R,R,serial_connected:/dev/cu.usbmodem101,0,1,3,3,190.000,100.000,0.595600,0.474400,0.0000,0.0000,0.0000,0.0000
482.770,0.880,-0.440,48277,482.770,0.0000,0.0000,0.0000,0.0000,-0.400,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,0.880,-0.440,-0.400,0.100,0.0000,0.0000,0.880,-0.440,-0.400,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.770,1776915328.315771,0.693,1,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
482.810,0.880,-0.440,48281,482.810,0.0000,0.0000,0.0000,0.0000,0.200,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,0.880,-0.440,0.200,-0.100,0.0000,0.0000,0.880,-0.440,0.200,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.810,1776915328.546494,0.924,2,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
482.870,0.890,-0.420,48287,482.870,0.0000,0.0000,0.0000,0.0000,0.500,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,0.890,-0.420,0.500,0.500,0.0000,0.0000,0.890,-0.420,0.500,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.870,1776915328.547376,0.924,3,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
482.920,0.930,-0.400,48292,482.920,0.0000,0.0000,0.0000,0.0000,1.000,0.600,0.0000,0.0000,Auto,Raw,Auto,Control,0.930,-0.400,1.000,0.600,0.0000,0.0000,0.930,-0.400,1.000,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.920,1776915328.548239,0.925,4,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
482.970,0.940,-0.380,48297,482.970,0.0000,0.0000,0.0000,0.0000,0.400,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,0.940,-0.380,0.400,0.100,0.0000,0.0000,0.940,-0.380,0.400,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,482.970,1776915328.549080,0.926,5,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
483.020,0.980,-0.360,48302,483.020,0.0000,0.0000,0.0000,0.0000,1.200,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,0.980,-0.360,1.200,0.700,0.0000,0.0000,0.980,-0.360,1.200,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,483.020,1776915328.549889,0.927,6,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
483.070,1.020,-0.320,48307,483.070,0.0000,0.0000,0.0000,0.0000,0.900,0.300,0.0000,0.0000,Auto,Raw,Auto,Control,1.020,-0.320,0.900,0.300,0.0000,0.0000,1.020,-0.320,0.900,0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,483.070,1776915328.640203,1.017,7,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
483.120,1.050,-0.320,48312,483.120,0.0000,0.0000,0.0000,0.0000,0.800,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,1.050,-0.320,0.800,0.100,0.0000,0.0000,1.050,-0.320,0.800,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,483.120,1776915328.692342,1.069,8,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
483.170,1.100,-0.290,48317,483.170,0.0000,0.0000,0.0000,0.0000,1.500,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,1.100,-0.290,1.500,0.500,0.0000,0.0000,1.100,-0.290,1.500,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.890,483.170,1776915328.734080,1.111,9,20260422_233527,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
