t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
113.400,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,-1940.000,-5487.400,-0.0000,-0.0000,0.000
113.450,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.500,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.550,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.600,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.650,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.700,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.750,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.800,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.850,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.900,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
113.950,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.000,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.050,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.100,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.150,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.200,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.250,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.300,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.350,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.400,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.450,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.500,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.550,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.600,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.650,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.700,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.750,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.800,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.850,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.900,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
114.950,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.000,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.050,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.100,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.150,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.200,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.250,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.300,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.350,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.400,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.450,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.500,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.550,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.600,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
115.650,-97.000,-274.370,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.000
