t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
262.180,-95.460,-96.140,26218,262.180,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Sync,Auto,Control,-95.440,-96.120,-1908.800,-1922.400,0.0000,0.0000,-95.460,-96.140,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26196,1,2.500,262.180,1776919255.525939,0.628,0,20260423_004054,EG,R,R,R,serial_connected:/dev/cu.usbmodem101,0,1,3,3,200.000,200.000,0.923800,0.965700,0.0300,0.0100,0.0000,0.0000
262.240,-95.430,-96.110,26224,262.240,0.0000,0.0000,0.0000,0.0000,0.068,0.068,0.0000,0.0000,Auto,Raw,Auto,Control,-95.430,-96.110,0.068,0.068,0.0000,0.0000,-95.430,-96.110,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.240,1776919255.672867,0.774,1,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.290,-95.430,-96.100,26229,262.290,0.0000,0.0000,0.0000,0.0000,0.000,4.993,0.0000,0.0000,Auto,Raw,Auto,Control,-95.430,-96.100,0.000,4.993,0.0000,0.0000,-95.430,-96.100,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.290,1776919255.673815,0.775,2,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.340,-95.420,-96.100,26234,262.340,0.0000,0.0000,0.0000,0.0000,0.079,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-95.420,-96.100,0.079,0.000,0.0000,0.0000,-95.420,-96.100,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.340,1776919255.801250,0.903,3,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.390,-95.420,-96.100,26239,262.390,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-95.420,-96.100,0.000,0.000,0.0000,0.0000,-95.420,-96.100,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.390,1776919255.802160,0.904,4,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.440,-95.420,-96.090,26244,262.440,0.0000,0.0000,0.0000,0.0000,0.000,11.073,0.0000,0.0000,Auto,Raw,Auto,Control,-95.420,-96.090,0.000,11.073,0.0000,0.0000,-95.420,-96.090,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.440,1776919255.803044,0.905,5,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.490,-95.420,-96.090,26249,262.490,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-95.420,-96.090,0.000,0.000,0.0000,0.0000,-95.420,-96.090,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.490,1776919255.867577,0.969,6,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.540,-95.410,-96.090,26254,262.540,0.0000,0.0000,0.0000,0.0000,0.259,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-95.410,-96.090,0.259,0.000,0.0000,0.0000,-95.410,-96.090,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.540,1776919255.906038,1.008,7,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.590,-95.410,-96.080,26259,262.590,0.0000,0.0000,0.0000,0.0000,0.000,0.168,0.0000,0.0000,Auto,Raw,Auto,Control,-95.410,-96.080,0.000,0.168,0.0000,0.0000,-95.410,-96.080,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.590,1776919255.966289,1.068,8,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
262.640,-95.410,-96.080,26264,262.640,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-95.410,-96.080,0.000,0.000,0.0000,0.0000,-95.410,-96.080,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,2.500,262.640,1776919256.006756,1.108,9,20260423_004054,EG,R,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
