t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
17.120,-164.570,-142.710,0.0000,0.0000,0.0000,0.0000,79.000,69.400,0.0000,0.0000,0.000
17.150,-165.460,-141.590,0.0000,0.0000,0.0000,0.0000,-2.600,-0.500,-0.0000,-0.0000,0.000
17.200,-165.500,-141.640,0.0000,0.0000,0.0000,0.0000,-0.100,-0.800,-0.0000,-0.0000,0.000
17.250,-165.540,-141.710,0.0000,0.0000,0.0000,0.0000,0.200,-1.000,0.0000,-0.0000,0.000
17.300,-165.570,-141.770,0.0000,0.0000,0.0000,0.0000,0.000,-1.800,0.0000,-0.0000,0.000
17.350,-165.550,-141.770,0.0000,0.0000,0.0000,0.0000,-1.600,-2.700,-0.0000,-0.0000,0.000
17.400,-165.620,-141.920,0.0000,0.0000,0.0000,0.0000,-0.700,-1.600,-0.0000,-0.0000,0.000
17.450,-165.650,-141.960,0.0000,0.0000,0.0000,0.0000,-2.100,-3.000,-0.0000,-0.0000,0.000
17.500,-165.680,-142.050,0.0000,0.0000,0.0000,0.0000,-0.300,-0.900,-0.0000,-0.0000,0.000
17.550,-165.680,-142.040,0.0000,0.0000,0.0000,0.0000,0.700,0.700,0.0000,0.0000,0.000
17.600,-165.660,-142.010,0.0000,0.0000,0.0000,0.0000,-0.100,-0.700,-0.0000,-0.0000,0.000
17.650,-165.690,-142.020,0.0000,0.0000,0.0000,0.0000,-1.300,-0.700,-0.0000,-0.0000,0.000
17.700,-165.650,-141.920,0.0000,0.0000,0.0000,0.0000,5.800,8.200,0.0000,0.0000,0.000
17.750,-164.870,-140.780,0.0000,0.0000,0.0000,0.0000,24.100,25.300,0.0000,0.0000,0.000
17.800,-161.130,-135.180,0.0000,0.0000,0.0000,0.0000,131.100,128.700,0.0000,0.0000,0.000
17.850,-153.660,-120.090,0.0000,0.0000,0.0000,0.0000,256.300,296.600,0.0000,0.0000,0.000
17.900,-141.290,-100.070,0.0000,0.0000,0.0000,0.0000,239.700,306.000,0.0000,0.0000,0.000
17.950,-132.650,-86.280,0.0000,0.0000,0.0000,0.0000,161.600,203.100,0.0000,0.0000,0.000
18.000,-127.700,-80.010,0.0000,0.0000,0.0000,0.0000,34.600,50.000,0.0000,0.0000,0.000
18.050,-127.730,-79.400,0.0000,0.0000,0.0000,0.0000,-42.100,-47.200,-0.0000,-0.0000,0.000
18.100,-132.000,-82.960,0.0000,0.0000,0.0000,0.0000,-139.500,-135.500,-0.0000,-0.0000,0.000
18.150,-146.480,-96.200,0.0000,0.0000,0.0000,0.0000,-332.400,-308.300,-0.0000,-0.0000,0.000
18.200,-159.160,-115.750,0.0000,0.0000,0.0000,0.0000,-327.300,-327.800,-0.0000,-0.0000,0.000
18.250,-172.530,-141.980,0.0000,0.0000,0.0000,0.0000,-233.500,-226.100,-0.0000,-0.0000,0.000
18.300,-180.900,-159.700,0.0000,0.0000,0.0000,0.0000,-134.200,-118.100,-0.0000,-0.0000,0.000
18.350,-184.460,-166.620,0.0000,0.0000,0.0000,0.0000,-36.900,-33.400,-0.0000,-0.0000,0.000
18.400,-185.980,-168.970,0.0000,0.0000,0.0000,0.0000,-5.000,14.400,-0.0000,0.0000,0.000
18.450,-182.480,-163.550,0.0000,0.0000,0.0000,0.0000,158.700,109.100,0.0000,0.0000,0.000
18.500,-166.070,-134.150,0.0000,0.0000,0.0000,0.0000,345.100,341.800,0.0000,0.0000,0.000
18.550,-153.670,-112.130,0.0000,0.0000,0.0000,0.0000,318.100,302.600,0.0000,0.0000,0.000
18.600,-141.880,-98.460,0.0000,0.0000,0.0000,0.0000,163.600,182.600,0.0000,0.0000,0.000
18.650,-134.480,-89.730,0.0000,0.0000,0.0000,0.0000,130.900,125.200,0.0000,0.0000,0.000
18.700,-130.150,-85.500,0.0000,0.0000,0.0000,0.0000,56.500,40.300,0.0000,0.0000,0.000
18.750,-128.230,-84.440,0.0000,0.0000,0.0000,0.0000,-1.600,-19.200,-0.0000,-0.0000,0.000
18.800,-128.570,-85.290,0.0000,0.0000,0.0000,0.0000,-33.100,-40.300,-0.0000,-0.0000,0.000
18.850,-130.400,-86.350,0.0000,0.0000,0.0000,0.0000,-58.000,-46.700,-0.0000,-0.0000,0.000
18.900,-133.190,-88.540,0.0000,0.0000,0.0000,0.0000,-101.000,-88.500,-0.0000,-0.0000,0.000
18.950,-138.570,-92.210,0.0000,0.0000,0.0000,0.0000,-129.900,-117.100,-0.0000,-0.0000,0.000
19.000,-146.690,-99.170,0.0000,0.0000,0.0000,0.0000,-199.300,-184.100,-0.0000,-0.0000,0.000
19.050,-159.330,-114.730,0.0000,0.0000,0.0000,0.0000,-298.800,-260.500,-0.0000,-0.0000,0.000
19.100,-171.920,-143.960,0.0000,0.0000,0.0000,0.0000,-316.800,-241.900,-0.0000,-0.0000,0.000
19.150,-185.720,-166.760,0.0000,0.0000,0.0000,0.0000,-187.900,-162.900,-0.0000,-0.0000,0.000
19.200,-194.030,-188.210,0.0000,0.0000,0.0000,0.0000,-96.600,-86.200,-0.0000,-0.0000,0.000
19.250,-197.770,-198.570,0.0000,0.0000,0.0000,0.0000,-86.100,-61.900,-0.0000,-0.0000,0.000
19.300,-199.760,-202.460,0.0000,0.0000,0.0000,0.0000,-14.200,-8.700,-0.0000,-0.0000,0.000
19.350,-197.160,-195.590,0.0000,0.0000,0.0000,0.0000,126.600,114.900,0.0000,0.0000,0.000
19.400,-186.550,-166.650,0.0000,0.0000,0.0000,0.0000,285.300,238.900,0.0000,0.0000,0.000
19.450,-172.140,-131.020,0.0000,0.0000,0.0000,0.0000,319.600,265.900,0.0000,0.0000,0.000
19.500,-157.060,-111.210,0.0000,0.0000,0.0000,0.0000,280.000,266.100,0.0000,0.0000,0.000
19.550,-142.690,-93.310,0.0000,0.0000,0.0000,0.0000,171.700,157.500,0.0000,0.0000,0.000
19.600,-135.740,-86.530,0.0000,0.0000,0.0000,0.0000,76.600,83.300,0.0000,0.0000,0.000
19.650,-130.720,-81.020,0.0000,0.0000,0.0000,0.0000,46.600,26.900,0.0000,0.0000,0.000
19.700,-123.630,-78.200,0.0000,0.0000,0.0000,0.0000,14.300,-13.900,0.0000,-0.0000,0.000
19.750,-122.490,-79.080,0.0000,0.0000,0.0000,0.0000,-59.200,-82.600,-0.0000,-0.0000,0.000
19.800,-124.890,-83.320,0.0000,0.0000,0.0000,0.0000,-122.600,-153.700,-0.0000,-0.0000,0.000
19.850,-132.460,-89.790,0.0000,0.0000,0.0000,0.0000,-237.700,-217.000,-0.0000,-0.0000,0.000
19.900,-145.360,-103.240,0.0000,0.0000,0.0000,0.0000,-322.600,-264.100,-0.0000,-0.0000,0.000
19.950,-160.410,-118.770,0.0000,0.0000,0.0000,0.0000,-285.800,-206.900,-0.0000,-0.0000,0.000
20.000,-175.460,-137.450,0.0000,0.0000,0.0000,0.0000,-318.300,-191.300,-0.0000,-0.0000,0.000
20.050,-188.770,-172.610,0.0000,0.0000,0.0000,0.0000,-181.500,-110.700,-0.0000,-0.0000,0.000
20.100,-196.210,-200.100,0.0000,0.0000,0.0000,0.0000,-118.100,-73.900,-0.0000,-0.0000,0.000
20.150,-201.230,-217.160,0.0000,0.0000,0.0000,0.0000,-82.900,-49.600,-0.0000,-0.0000,0.000
20.200,-203.510,-224.510,0.0000,0.0000,0.0000,0.0000,-5.200,2.300,-0.0000,0.0000,0.000
20.250,-201.740,-227.420,0.0000,0.0000,0.0000,0.0000,115.400,59.100,0.0000,0.0000,0.000
20.300,-195.920,-199.580,0.0000,0.0000,0.0000,0.0000,247.400,224.100,0.0000,0.0000,0.000
20.350,-181.420,-119.700,0.0000,0.0000,0.0000,0.0000,347.000,257.700,0.0000,0.0000,0.000
20.400,-165.650,-97.980,0.0000,0.0000,0.0000,0.0000,326.800,241.500,0.0000,0.0000,0.000
20.450,-147.820,-89.210,0.0000,0.0000,0.0000,0.0000,267.300,132.700,0.0000,0.0000,0.000
20.500,-137.460,-88.010,0.0000,0.0000,0.0000,0.0000,135.500,88.600,0.0000,0.0000,0.000
20.550,-130.980,-85.170,0.0000,0.0000,0.0000,0.0000,99.300,75.400,0.0000,0.0000,0.000
20.600,-127.640,-84.160,0.0000,0.0000,0.0000,0.0000,17.700,-18.600,0.0000,-0.0000,0.000
20.650,-126.740,-84.590,0.0000,0.0000,0.0000,0.0000,24.500,24.000,0.0000,0.0000,0.000
20.700,-125.890,-83.290,0.0000,0.0000,0.0000,0.0000,20.800,3.200,0.0000,0.0000,0.000
20.750,-126.540,-85.310,0.0000,0.0000,0.0000,0.0000,-16.100,-26.400,-0.0000,-0.0000,0.000
20.800,-127.370,-86.540,0.0000,0.0000,0.0000,0.0000,7.700,14.000,0.0000,0.0000,0.000
20.850,-127.020,-86.170,0.0000,0.0000,0.0000,0.0000,0.200,-7.500,0.0000,-0.0000,0.000
20.900,-127.390,-86.980,0.0000,0.0000,0.0000,0.0000,-19.000,-27.300,-0.0000,-0.0000,0.000
20.950,-127.950,-87.800,0.0000,0.0000,0.0000,0.0000,1.500,3.200,0.0000,0.0000,0.000
21.000,-127.950,-87.630,0.0000,0.0000,0.0000,0.0000,-0.700,-3.100,-0.0000,-0.0000,0.000
21.050,-127.980,-88.060,0.0000,0.0000,0.0000,0.0000,-5.400,-9.100,-0.0000,-0.0000,0.000
21.100,-127.810,-87.640,0.0000,0.0000,0.0000,0.0000,5.900,9.400,0.0000,0.0000,0.000
21.150,-127.710,-87.470,0.0000,0.0000,0.0000,0.0000,-3.300,-5.900,-0.0000,-0.0000,0.000
21.200,-127.480,-87.190,0.0000,0.0000,0.0000,0.0000,4.900,4.200,0.0000,0.0000,0.000
21.250,-127.210,-87.090,0.0000,0.0000,0.0000,0.0000,4.900,0.700,0.0000,0.0000,0.000
21.300,-127.290,-87.610,0.0000,0.0000,0.0000,0.0000,-1.200,-6.200,-0.0000,-0.0000,0.000
21.350,-127.270,-87.930,0.0000,0.0000,0.0000,0.0000,-1.300,-4.600,-0.0000,-0.0000,0.000
21.400,-127.370,-88.120,0.0000,0.0000,0.0000,0.0000,-0.400,0.200,-0.0000,0.0000,0.000
21.450,-127.430,-88.060,0.0000,0.0000,0.0000,0.0000,0.600,1.000,0.0000,0.0000,0.000
21.500,-127.710,-88.740,0.0000,0.0000,0.0000,0.0000,-7.200,-14.000,-0.0000,-0.0000,0.000
21.550,-127.880,-89.270,0.0000,0.0000,0.0000,0.0000,-0.800,-0.900,-0.0000,-0.0000,0.000
21.600,-127.950,-89.180,0.0000,0.0000,0.0000,0.0000,-2.000,-0.500,-0.0000,-0.0000,0.000
21.650,-128.030,-89.170,0.0000,0.0000,0.0000,0.0000,-0.200,-0.700,-0.0000,-0.0000,0.000
21.700,-127.890,-88.800,0.0000,0.0000,0.0000,0.0000,2.100,3.500,0.0000,0.0000,0.000
21.750,-127.770,-88.570,0.0000,0.0000,0.0000,0.0000,-1.000,-2.300,-0.0000,-0.0000,0.000
21.800,-127.680,-88.580,0.0000,0.0000,0.0000,0.0000,-0.900,-2.400,-0.0000,-0.0000,0.000
