t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
456.560,-0.640,9.600,0.0000,0.0000,0.0000,0.0000,21.200,164.800,0.0000,0.0000,1.010,456.560,1776804374.073926,0.782,0,20260421_164613,EG,R,R,R,serial_connected:/dev/cu.usbmodem1101,0,1,3,3,170.000,180.000,0.893000,0.951500,15.5900,17.3600,-1.8700,-0.8800
456.620,2.840,17.990,0.0000,0.0000,0.0000,0.0000,110.400,112.400,0.0000,0.0000,1.010,456.620,1776804374.074404,0.782,1,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.670,5.520,21.350,0.0000,0.0000,0.0000,0.0000,-9.000,129.600,-0.0000,0.0000,0.970,456.670,1776804374.196184,0.904,2,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.720,-1.310,29.020,0.0000,0.0000,0.0000,0.0000,70.800,109.300,0.0000,0.0000,0.970,456.720,1776804374.196387,0.904,3,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.770,0.520,30.530,0.0000,0.0000,0.0000,0.0000,-89.800,-57.200,-0.0000,-0.0000,0.970,456.770,1776804374.242276,0.950,4,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.820,-8.460,25.940,0.0000,0.0000,0.0000,0.0000,179.000,-76.300,0.0000,-0.0000,0.970,456.820,1776804374.287529,0.995,5,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.870,-3.930,21.150,0.0000,0.0000,0.0000,0.0000,63.000,-146.500,0.0000,-0.0000,0.970,456.870,1776804374.330506,1.038,6,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.920,2.360,8.250,0.0000,0.0000,0.0000,0.0000,113.300,-178.300,0.0000,-0.0000,0.970,456.920,1776804374.375019,1.083,7,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
456.970,9.220,-2.500,0.0000,0.0000,0.0000,0.0000,152.800,-203.500,0.0000,-0.0000,0.970,456.970,1776804374.422409,1.130,8,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.020,18.170,-10.220,0.0000,0.0000,0.0000,0.0000,199.500,-187.300,0.0000,-0.0000,0.970,457.020,1776804374.464575,1.172,9,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.070,28.220,-17.430,0.0000,0.0000,0.0000,0.0000,152.600,-79.300,0.0000,-0.0000,0.970,457.070,1776804374.519338,1.227,10,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.120,33.980,-18.720,0.0000,0.0000,0.0000,0.0000,97.400,-45.200,0.0000,-0.0000,0.970,457.120,1776804374.583794,1.291,11,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.170,37.970,-19.330,0.0000,0.0000,0.0000,0.0000,73.900,-49.200,0.0000,-0.0000,0.970,457.170,1776804374.624964,1.333,12,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.220,40.550,-25.680,0.0000,0.0000,0.0000,0.0000,38.500,-118.800,0.0000,-0.0000,0.970,457.220,1776804374.670744,1.378,13,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.270,40.310,-20.250,0.0000,0.0000,0.0000,0.0000,-55.700,287.500,-0.0000,0.0000,0.970,457.270,1776804374.742702,1.450,14,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.320,31.270,-16.330,0.0000,0.0000,0.0000,0.0000,-111.300,176.600,-0.0000,0.0000,0.970,457.320,1776804374.785522,1.493,15,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.370,24.820,-13.770,0.0000,0.0000,0.0000,0.0000,-161.000,51.300,-0.0000,0.0000,0.970,457.370,1776804374.808901,1.517,16,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.420,15.780,-6.790,0.0000,0.0000,0.0000,0.0000,-160.100,124.900,-0.0000,0.0000,0.970,457.420,1776804374.867011,1.575,17,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.470,7.460,0.100,0.0000,0.0000,0.0000,0.0000,-167.700,158.300,-0.0000,0.0000,0.970,457.470,1776804374.925955,1.634,18,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.520,-0.020,7.250,0.0000,0.0000,0.0000,0.0000,-123.800,146.500,-0.0000,0.0000,0.970,457.520,1776804374.966643,1.674,19,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.570,-2.820,12.910,0.0000,0.0000,0.0000,0.0000,-20.400,142.300,-0.0000,0.0000,0.970,457.570,1776804375.009499,1.717,20,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.620,-0.370,19.660,0.0000,0.0000,0.0000,0.0000,108.600,100.600,0.0000,0.0000,1.030,457.620,1776804375.069793,1.777,21,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.670,3.400,25.100,0.0000,0.0000,0.0000,0.0000,49.600,103.100,0.0000,0.0000,1.030,457.670,1776804375.106476,1.814,22,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.720,-3.280,28.420,0.0000,0.0000,0.0000,0.0000,59.700,91.100,0.0000,0.0000,1.030,457.720,1776804375.167051,1.875,23,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.770,-1.150,31.520,0.0000,0.0000,0.0000,0.0000,-186.300,-18.900,-0.0000,-0.0000,1.030,457.770,1776804375.206764,1.914,24,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.820,-8.600,26.200,0.0000,0.0000,0.0000,0.0000,181.100,-83.600,0.0000,-0.0000,1.030,457.820,1776804375.265062,1.973,25,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.870,-4.690,19.620,0.0000,0.0000,0.0000,0.0000,58.800,-171.000,0.0000,-0.0000,1.030,457.870,1776804375.310019,2.018,26,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.920,0.500,10.760,0.0000,0.0000,0.0000,0.0000,118.700,-197.900,0.0000,-0.0000,1.030,457.920,1776804375.371219,2.079,27,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
457.970,9.000,-1.860,0.0000,0.0000,0.0000,0.0000,161.600,-195.100,0.0000,-0.0000,1.030,457.970,1776804375.413972,2.122,28,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.020,17.820,-11.100,0.0000,0.0000,0.0000,0.0000,186.800,-194.000,0.0000,-0.0000,1.030,458.020,1776804375.511553,2.219,29,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.070,26.060,-16.060,0.0000,0.0000,0.0000,0.0000,177.400,-103.700,0.0000,-0.0000,1.030,458.070,1776804375.511808,2.219,30,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.120,33.210,-17.720,0.0000,0.0000,0.0000,0.0000,107.900,-44.600,0.0000,-0.0000,1.030,458.120,1776804375.571130,2.279,31,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.170,36.350,-20.290,0.0000,0.0000,0.0000,0.0000,70.100,-151.100,0.0000,-0.0000,1.030,458.170,1776804375.611768,2.319,32,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.220,40.080,-26.150,0.0000,0.0000,0.0000,0.0000,54.600,-89.700,0.0000,-0.0000,1.030,458.220,1776804375.671103,2.379,33,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.270,40.890,-25.080,0.0000,0.0000,0.0000,0.0000,-31.400,45.000,-0.0000,0.0000,1.030,458.270,1776804375.714874,2.423,34,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.320,31.900,-18.920,0.0000,0.0000,0.0000,0.0000,-148.000,148.900,-0.0000,0.0000,1.030,458.320,1776804375.775357,2.483,35,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.370,25.770,-13.810,0.0000,0.0000,0.0000,0.0000,-153.800,76.400,-0.0000,0.0000,1.030,458.370,1776804375.810989,2.519,36,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.420,16.060,-10.230,0.0000,0.0000,0.0000,0.0000,-166.200,127.700,-0.0000,0.0000,1.030,458.420,1776804375.867583,2.575,37,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.470,7.030,-2.010,0.0000,0.0000,0.0000,0.0000,-184.900,139.300,-0.0000,0.0000,1.030,458.470,1776804375.916985,2.625,38,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.520,-0.960,5.480,0.0000,0.0000,0.0000,0.0000,-127.700,153.400,-0.0000,0.0000,1.030,458.520,1776804375.977586,2.685,39,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.570,-3.210,13.750,0.0000,0.0000,0.0000,0.0000,-22.800,160.300,-0.0000,0.0000,1.030,458.570,1776804376.017564,2.725,40,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.620,-0.260,19.150,0.0000,0.0000,0.0000,0.0000,99.700,117.800,0.0000,0.0000,1.000,458.620,1776804376.077917,2.786,41,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.670,1.710,25.940,0.0000,0.0000,0.0000,0.0000,-33.200,123.400,-0.0000,0.0000,1.000,458.670,1776804376.120825,2.828,42,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.720,-2.940,30.540,0.0000,0.0000,0.0000,0.0000,74.300,93.100,0.0000,0.0000,1.000,458.720,1776804376.180314,2.888,43,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.770,-3.780,31.290,0.0000,0.0000,0.0000,0.0000,-100.200,-56.900,-0.0000,-0.0000,1.000,458.770,1776804376.240697,2.948,44,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.820,-9.270,26.170,0.0000,0.0000,0.0000,0.0000,211.500,-55.400,0.0000,-0.0000,1.000,458.820,1776804376.278307,2.986,45,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.870,-5.020,18.160,0.0000,0.0000,0.0000,0.0000,81.900,-192.700,0.0000,-0.0000,1.000,458.870,1776804376.306730,3.014,46,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.920,1.930,6.760,0.0000,0.0000,0.0000,0.0000,129.700,-181.000,0.0000,-0.0000,1.000,458.920,1776804376.382488,3.090,47,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
458.970,9.060,-1.710,0.0000,0.0000,0.0000,0.0000,168.800,-199.200,0.0000,-0.0000,1.000,458.970,1776804376.440965,3.149,48,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
459.020,16.550,-12.430,0.0000,0.0000,0.0000,0.0000,184.000,-155.900,0.0000,-0.0000,1.000,459.020,1776804376.469949,3.178,49,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
459.070,28.680,-15.790,0.0000,0.0000,0.0000,0.0000,136.000,-93.900,0.0000,-0.0000,1.000,459.070,1776804376.527153,3.235,50,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
459.120,34.100,-17.430,0.0000,0.0000,0.0000,0.0000,91.400,-37.200,0.0000,-0.0000,1.000,459.120,1776804376.606266,3.314,51,20260421_164613,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
