t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
25.330,2.600,10.070,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,-0.0000,0.000,25.330,1776801321.385438,0.805,0,20260421_155520,EG,,,,serial_connected:/dev/cu.usbmodem1101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.380,2.600,10.050,0.0000,0.0000,0.0000,0.0000,0.000,-0.400,0.0000,-0.0000,0.000,25.380,1776801321.488845,0.909,1,20260421_155520,EG,,,,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.430,2.590,10.020,0.0000,0.0000,0.0000,0.0000,-0.400,-0.600,-0.0000,-0.0000,0.000,25.430,1776801321.489053,0.909,2,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.480,2.570,9.990,0.0000,0.0000,0.0000,0.0000,-0.300,-0.400,-0.0000,-0.0000,0.000,25.480,1776801321.557878,0.978,3,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.530,2.560,9.970,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.000,25.530,1776801321.584295,1.004,4,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.580,2.530,9.950,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.000,25.580,1776801321.642583,1.063,5,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.630,2.500,9.940,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.000,25.630,1776801321.678374,1.098,6,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.680,2.480,9.920,0.0000,0.0000,0.0000,0.0000,-0.400,-0.100,-0.0000,-0.0000,0.000,25.680,1776801321.758627,1.179,7,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.730,2.450,9.900,0.0000,0.0000,0.0000,0.0000,-0.500,-0.200,-0.0000,-0.0000,0.000,25.730,1776801321.787815,1.208,8,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.780,2.410,9.890,0.0000,0.0000,0.0000,0.0000,-0.400,-0.100,-0.0000,-0.0000,0.000,25.780,1776801321.843108,1.263,9,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.830,2.390,9.860,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.000,25.830,1776801321.902939,1.323,10,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.880,2.370,9.850,0.0000,0.0000,0.0000,0.0000,-0.400,-0.200,-0.0000,-0.0000,0.000,25.880,1776801321.939143,1.359,11,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.930,2.340,9.820,0.0000,0.0000,0.0000,0.0000,0.000,-0.300,0.0000,-0.0000,0.000,25.930,1776801321.966456,1.386,12,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
25.980,2.330,9.800,0.0000,0.0000,0.0000,0.0000,0.000,-0.300,0.0000,-0.0000,0.000,25.980,1776801322.037817,1.458,13,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.030,2.310,9.780,0.0000,0.0000,0.0000,0.0000,0.000,-0.200,0.0000,-0.0000,0.000,26.030,1776801322.082339,1.502,14,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.080,2.300,9.740,0.0000,0.0000,0.0000,0.0000,0.000,-0.700,0.0000,-0.0000,0.000,26.080,1776801322.141817,1.562,15,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.130,2.290,9.670,0.0000,0.0000,0.0000,0.0000,0.000,-0.900,0.0000,-0.0000,0.000,26.130,1776801322.179032,1.599,16,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.180,2.280,9.590,0.0000,0.0000,0.0000,0.0000,0.000,-1.200,0.0000,-0.0000,0.000,26.180,1776801322.237723,1.658,17,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.230,2.260,9.520,0.0000,0.0000,0.0000,0.0000,-0.200,-1.300,-0.0000,-0.0000,0.000,26.230,1776801322.298828,1.719,18,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.280,2.240,9.480,0.0000,0.0000,0.0000,0.0000,-0.500,-0.400,-0.0000,-0.0000,0.000,26.280,1776801322.326300,1.746,19,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.330,2.230,9.470,0.0000,0.0000,0.0000,0.0000,-1.000,0.000,-0.0000,0.0000,0.000,26.330,1776801322.384397,1.804,20,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.380,2.210,9.470,0.0000,0.0000,0.0000,0.0000,-0.600,-0.200,-0.0000,-0.0000,0.000,26.380,1776801322.445260,1.865,21,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.430,2.170,9.470,0.0000,0.0000,0.0000,0.0000,-0.900,-0.100,-0.0000,-0.0000,0.000,26.430,1776801322.478388,1.898,22,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
26.480,2.110,9.480,0.0000,0.0000,0.0000,0.0000,-0.800,0.000,-0.0000,0.0000,0.000,26.480,1776801322.537999,1.958,23,20260421_155520,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
