t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
59.420,-4.360,-1.780,5942,59.420,0.0000,0.0000,0.0000,0.0000,26.700,-14.900,0.0000,0.0000,Auto,Raw,Auto,Control,-4.360,-1.780,26.700,-14.900,0.0000,0.0000,-4.360,-1.780,26.700,-14.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.420,1776914905.137646,0.884,0,20260422_232824,EG,R,R,R,serial_connected:/dev/cu.usbmodem101,0,1,3,3,200.000,200.000,0.942300,0.957400,5.8700,5.4600,-0.3600,-0.2400
59.470,-3.220,-1.930,5947,59.470,0.0000,0.0000,0.0000,0.0000,14.000,7.100,0.0000,0.0000,Auto,Raw,Auto,Control,-3.220,-1.930,14.000,7.100,0.0000,0.0000,-3.220,-1.930,14.000,7.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.470,1776914905.139016,0.885,1,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.520,-2.890,-1.440,5952,59.520,0.0000,0.0000,0.0000,0.0000,4.800,4.600,0.0000,0.0000,Auto,Raw,Auto,Control,-2.890,-1.440,4.800,4.600,0.0000,0.0000,-2.890,-1.440,4.800,4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.520,1776914905.139870,0.886,2,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.570,-2.720,-1.390,5957,59.570,0.0000,0.0000,0.0000,0.0000,2.800,1.600,0.0000,0.0000,Auto,Raw,Auto,Control,-2.720,-1.390,2.800,1.600,0.0000,0.0000,-2.720,-1.390,2.800,1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.570,1776914905.140700,0.887,3,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.620,-2.580,-1.360,5962,59.620,0.0000,0.0000,0.0000,0.0000,2.600,-0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.580,-1.360,2.600,-0.500,0.0000,0.0000,-2.580,-1.360,2.600,-0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.620,1776914905.284528,1.031,4,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.670,-2.330,-1.390,5967,59.670,0.0000,0.0000,0.0000,0.0000,2.900,0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.330,-1.390,2.900,0.400,0.0000,0.0000,-2.330,-1.390,2.900,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.670,1776914905.285361,1.032,5,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.720,-2.230,-1.340,5972,59.720,0.0000,0.0000,0.0000,0.0000,1.500,2.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.230,-1.340,1.500,2.400,0.0000,0.0000,-2.230,-1.340,1.500,2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.720,1776914905.286166,1.032,6,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.770,-2.130,-1.290,5977,59.770,0.0000,0.0000,0.0000,0.0000,1.700,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.130,-1.290,1.700,0.500,0.0000,0.0000,-2.130,-1.290,1.700,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.770,1776914905.336185,1.082,7,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.820,-2.110,-1.280,5982,59.820,0.0000,0.0000,0.0000,0.0000,-0.200,1.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.110,-1.280,-0.200,1.500,0.0000,0.0000,-2.110,-1.280,-0.200,1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.820,1776914905.386758,1.133,8,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.870,-2.420,-1.210,5987,59.870,0.0000,0.0000,0.0000,0.0000,-7.400,2.700,0.0000,0.0000,Auto,Raw,Auto,Control,-2.420,-1.210,-7.400,2.700,0.0000,0.0000,-2.420,-1.210,-7.400,2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.870,1776914905.430843,1.177,9,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.920,-2.590,-1.140,5992,59.920,0.0000,0.0000,0.0000,0.0000,-2.700,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.590,-1.140,-2.700,0.500,0.0000,0.0000,-2.590,-1.140,-2.700,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.920,1776914905.480932,1.227,10,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
59.970,-2.500,-1.060,5997,59.970,0.0000,0.0000,0.0000,0.0000,1.400,1.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.500,-1.060,1.400,1.400,0.0000,0.0000,-2.500,-1.060,1.400,1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,59.970,1776914905.538814,1.285,11,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.020,-2.410,-0.980,6002,60.020,0.0000,0.0000,0.0000,0.0000,1.200,1.300,0.0000,0.0000,Auto,Raw,Auto,Control,-2.410,-0.980,1.200,1.300,0.0000,0.0000,-2.410,-0.980,1.200,1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.020,1776914905.578340,1.325,12,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.070,-2.360,-0.890,6007,60.070,0.0000,0.0000,0.0000,0.0000,1.300,2.000,0.0000,0.0000,Auto,Raw,Auto,Control,-2.360,-0.890,1.300,2.000,0.0000,0.0000,-2.360,-0.890,1.300,2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.070,1776914905.626706,1.373,13,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.120,-2.340,-0.810,6012,60.120,0.0000,0.0000,0.0000,0.0000,-0.100,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,-2.340,-0.810,-0.100,0.700,0.0000,0.0000,-2.340,-0.810,-0.100,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.120,1776914905.676117,1.422,14,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.170,-2.260,-0.750,6017,60.170,0.0000,0.0000,0.0000,0.0000,1.200,0.600,0.0000,0.0000,Auto,Raw,Auto,Control,-2.260,-0.750,1.200,0.600,0.0000,0.0000,-2.260,-0.750,1.200,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.170,1776914905.726294,1.473,15,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.220,-2.190,-0.700,6022,60.220,0.0000,0.0000,0.0000,0.0000,0.200,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,-2.190,-0.700,0.200,0.700,0.0000,0.0000,-2.190,-0.700,0.200,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.220,1776914905.779329,1.526,16,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.270,-2.180,-0.630,6027,60.270,0.0000,0.0000,0.0000,0.0000,0.200,0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.180,-0.630,0.200,0.500,0.0000,0.0000,-2.180,-0.630,0.200,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.270,1776914905.802753,1.549,17,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.320,-2.180,-0.620,6032,60.320,0.0000,0.0000,0.0000,0.0000,-0.500,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-2.180,-0.620,-0.500,0.000,0.0000,0.0000,-2.180,-0.620,-0.500,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.320,1776914905.871243,1.618,18,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.370,-2.180,-0.610,6037,60.370,0.0000,0.0000,0.0000,0.0000,-0.600,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.180,-0.610,-0.600,0.100,0.0000,0.0000,-2.180,-0.610,-0.600,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.370,1776914905.931799,1.678,19,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.420,-2.170,-0.610,6042,60.420,0.0000,0.0000,0.0000,0.0000,-0.300,-0.500,0.0000,0.0000,Auto,Raw,Auto,Control,-2.170,-0.610,-0.300,-0.500,0.0000,0.0000,-2.170,-0.610,-0.300,-0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.420,1776914905.971449,1.718,20,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.470,-2.150,-0.620,6047,60.470,0.0000,0.0000,0.0000,0.0000,0.700,-0.200,0.0000,0.0000,Auto,Raw,Auto,Control,-2.150,-0.620,0.700,-0.200,0.0000,0.0000,-2.150,-0.620,0.700,-0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.470,1776914906.021378,1.768,21,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.520,-2.150,-0.610,6052,60.520,0.0000,0.0000,0.0000,0.0000,-0.400,-0.300,0.0000,0.0000,Auto,Raw,Auto,Control,-2.150,-0.610,-0.400,-0.300,0.0000,0.0000,-2.150,-0.610,-0.400,-0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.520,1776914906.061085,1.807,22,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.570,-2.150,-0.620,6057,60.570,0.0000,0.0000,0.0000,0.0000,0.000,-0.200,0.0000,0.0000,Auto,Raw,Auto,Control,-2.150,-0.620,0.000,-0.200,0.0000,0.0000,-2.150,-0.620,0.000,-0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.570,1776914906.122414,1.869,23,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.620,-2.160,-0.600,6062,60.620,0.0000,0.0000,0.0000,0.0000,-0.300,0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.160,-0.600,-0.300,0.400,0.0000,0.0000,-2.160,-0.600,-0.300,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.620,1776914906.161077,1.907,24,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.670,-2.200,-0.490,6067,60.670,0.0000,0.0000,0.0000,0.0000,-1.300,1.800,0.0000,0.0000,Auto,Raw,Auto,Control,-2.200,-0.490,-1.300,1.800,0.0000,0.0000,-2.200,-0.490,-1.300,1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.670,1776914906.220652,1.967,25,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.730,-2.180,-0.400,6073,60.730,0.0000,0.0000,0.0000,0.0000,1.100,1.700,0.0000,0.0000,Auto,Raw,Auto,Control,-2.180,-0.400,1.100,1.700,0.0000,0.0000,-2.180,-0.400,1.100,1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.730,1776914906.276940,2.023,26,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.780,-2.130,-0.370,6078,60.780,0.0000,0.0000,0.0000,0.0000,-0.700,-0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.130,-0.370,-0.700,-0.400,0.0000,0.0000,-2.130,-0.370,-0.700,-0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.780,1776914906.363923,2.110,27,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.830,-2.150,-0.430,6083,60.830,0.0000,0.0000,0.0000,0.0000,0.400,-1.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.150,-0.430,0.400,-1.100,0.0000,0.0000,-2.150,-0.430,0.400,-1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.830,1776914906.364798,2.111,28,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.880,-2.120,-0.480,6088,60.880,0.0000,0.0000,0.0000,0.0000,0.000,-0.400,0.0000,0.0000,Auto,Raw,Auto,Control,-2.120,-0.480,0.000,-0.400,0.0000,0.0000,-2.120,-0.480,0.000,-0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.880,1776914906.418604,2.165,29,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.930,-2.120,-0.490,6093,60.930,0.0000,0.0000,0.0000,0.0000,-0.600,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.120,-0.490,-0.600,-0.100,0.0000,0.0000,-2.120,-0.490,-0.600,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.930,1776914906.469224,2.216,30,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
60.980,-2.130,-0.490,6098,60.980,0.0000,0.0000,0.0000,0.0000,0.300,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.130,-0.490,0.300,0.100,0.0000,0.0000,-2.130,-0.490,0.300,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,60.980,1776914906.551979,2.298,31,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.030,-2.110,-0.470,6103,61.030,0.0000,0.0000,0.0000,0.0000,0.600,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.110,-0.470,0.600,0.100,0.0000,0.0000,-2.110,-0.470,0.600,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.030,1776914906.592257,2.339,32,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.080,-2.090,-0.450,6108,61.080,0.0000,0.0000,0.0000,0.0000,0.000,0.200,0.0000,0.0000,Auto,Raw,Auto,Control,-2.090,-0.450,0.000,0.200,0.0000,0.0000,-2.090,-0.450,0.000,0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.080,1776914906.639844,2.386,33,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.140,-2.060,-0.440,6114,61.140,0.0000,0.0000,0.0000,0.0000,0.900,0.200,0.0000,0.0000,Auto,Raw,Auto,Control,-2.060,-0.440,0.900,0.200,0.0000,0.0000,-2.060,-0.440,0.900,0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.140,1776914906.685556,2.432,34,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.190,-2.030,-0.430,6119,61.190,0.0000,0.0000,0.0000,0.0000,0.100,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,-2.030,-0.430,0.100,-0.100,0.0000,0.0000,-2.030,-0.430,0.100,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.190,1776914906.737141,2.483,35,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.240,-2.010,-0.420,6124,61.240,0.0000,0.0000,0.0000,0.0000,0.400,0.300,0.0000,0.0000,Auto,Raw,Auto,Control,-2.010,-0.420,0.400,0.300,0.0000,0.0000,-2.010,-0.420,0.400,0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.240,1776914906.811938,2.558,36,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
61.290,-1.980,-0.400,6129,61.290,0.0000,0.0000,0.0000,0.0000,0.100,0.000,0.0000,0.0000,Auto,Raw,Auto,Control,-1.980,-0.400,0.100,0.000,0.0000,0.0000,-1.980,-0.400,0.100,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.680,61.290,1776914906.858206,2.605,37,20260422_232824,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
