t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
101.610,4.740,4.750,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.670,101.610,1776804019.077147,14.087,0,20260421_164004,EG,S,S,S,serial_connected:/dev/cu.usbmodem1101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.660,4.730,4.740,0.0000,0.0000,0.0000,0.0000,0.100,0.100,0.0000,0.0000,0.670,101.660,1776804019.182432,14.192,1,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.710,4.750,4.740,0.0000,0.0000,0.0000,0.0000,0.400,0.100,0.0000,0.0000,0.670,101.710,1776804019.182625,14.192,2,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.760,4.760,4.740,0.0000,0.0000,0.0000,0.0000,0.500,0.000,0.0000,0.0000,0.670,101.760,1776804019.224048,14.234,3,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.810,4.770,4.750,0.0000,0.0000,0.0000,0.0000,0.700,0.100,0.0000,0.0000,0.670,101.810,1776804019.270664,14.280,4,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.860,4.810,4.760,0.0000,0.0000,0.0000,0.0000,1.000,0.200,0.0000,0.0000,0.670,101.860,1776804019.343219,14.353,5,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.910,4.850,4.770,0.0000,0.0000,0.0000,0.0000,0.800,0.500,0.0000,0.0000,0.670,101.910,1776804019.364539,14.374,6,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
101.960,4.880,4.790,0.0000,0.0000,0.0000,0.0000,0.800,0.200,0.0000,0.0000,0.670,101.960,1776804019.423659,14.433,7,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
102.010,4.890,4.780,0.0000,0.0000,0.0000,0.0000,0.200,-0.100,0.0000,-0.0000,0.670,102.010,1776804019.463758,14.474,8,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
102.060,4.910,4.760,0.0000,0.0000,0.0000,0.0000,0.000,-0.900,0.0000,-0.0000,0.670,102.060,1776804019.524083,14.534,9,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
102.110,4.920,4.720,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,-0.0000,0.670,102.110,1776804019.573025,14.583,10,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
102.160,4.910,4.770,0.0000,0.0000,0.0000,0.0000,-0.500,1.200,-0.0000,0.0000,0.670,102.160,1776804019.630540,14.640,11,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
102.210,4.860,4.790,0.0000,0.0000,0.0000,0.0000,-2.000,0.100,-0.0000,0.0000,0.670,102.210,1776804019.664239,14.674,12,20260421_164004,EG,S,S,S,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
