t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
170.200,-153.670,-86.730,0.0000,0.0000,0.0000,0.0000,65.400,79.500,0.0000,0.0000,0.000
170.250,-151.060,-85.090,0.0000,0.0000,0.0000,0.0000,24.500,15.200,0.0000,0.0000,0.000
170.300,-148.490,-83.610,0.0000,0.0000,0.0000,0.0000,62.100,24.500,0.0000,0.0000,0.000
170.350,-146.360,-83.450,0.0000,0.0000,0.0000,0.0000,27.100,11.100,0.0000,0.0000,0.000
170.400,-145.370,-83.000,0.0000,0.0000,0.0000,0.0000,22.100,-8.600,0.0000,-0.0000,0.000
170.450,-144.660,-84.590,0.0000,0.0000,0.0000,0.0000,15.600,-36.400,0.0000,-0.0000,0.000
170.500,-146.530,-86.070,0.0000,0.0000,0.0000,0.0000,-96.800,-19.000,-0.0000,-0.0000,0.000
170.550,-151.280,-86.480,0.0000,0.0000,0.0000,0.0000,-89.700,9.600,-0.0000,0.0000,0.000
170.600,-152.520,-87.060,0.0000,0.0000,0.0000,0.0000,-21.300,-29.400,-0.0000,-0.0000,0.000
170.650,-153.460,-86.040,0.0000,0.0000,0.0000,0.0000,-4.700,12.900,-0.0000,0.0000,0.000
170.700,-152.830,-85.810,0.0000,0.0000,0.0000,0.0000,11.800,17.500,0.0000,0.0000,0.000
170.750,-153.110,-85.210,0.0000,0.0000,0.0000,0.0000,-22.600,22.400,-0.0000,0.0000,0.000
170.800,-153.130,-85.240,0.0000,0.0000,0.0000,0.0000,10.200,-8.300,0.0000,-0.0000,0.000
170.850,-152.100,-85.630,0.0000,0.0000,0.0000,0.0000,30.300,-8.500,0.0000,-0.0000,0.000
170.900,-151.190,-85.590,0.0000,0.0000,0.0000,0.0000,17.500,3.800,0.0000,0.0000,0.000
170.950,-149.880,-85.240,0.0000,0.0000,0.0000,0.0000,32.700,3.800,0.0000,0.0000,0.000
171.000,-149.000,-84.500,0.0000,0.0000,0.0000,0.0000,14.500,41.600,0.0000,0.0000,0.000
171.050,-147.770,-79.880,0.0000,0.0000,0.0000,0.0000,7.900,10.300,0.0000,0.0000,0.000
171.100,-147.830,-79.160,0.0000,0.0000,0.0000,0.0000,-2.500,39.100,-0.0000,0.0000,0.000
171.150,-147.980,-77.060,0.0000,0.0000,0.0000,0.0000,-4.900,17.600,-0.0000,0.0000,0.000
171.200,-148.900,-76.410,0.0000,0.0000,0.0000,0.0000,-22.700,14.000,-0.0000,0.0000,0.000
171.250,-149.630,-74.650,0.0000,0.0000,0.0000,0.0000,-24.400,43.800,-0.0000,0.0000,0.000
171.300,-150.060,-73.000,0.0000,0.0000,0.0000,0.0000,-0.100,38.300,-0.0000,0.0000,0.000
171.350,-150.380,-71.270,0.0000,0.0000,0.0000,0.0000,-9.400,38.800,-0.0000,0.0000,0.000
171.400,-152.130,-68.940,0.0000,0.0000,0.0000,0.0000,-57.600,57.700,-0.0000,0.0000,0.000
171.450,-154.390,-65.070,0.0000,0.0000,0.0000,0.0000,-39.600,73.500,-0.0000,0.0000,0.000
171.500,-156.970,-62.620,0.0000,0.0000,0.0000,0.0000,-39.300,71.700,-0.0000,0.0000,0.000
171.550,-159.270,-57.190,0.0000,0.0000,0.0000,0.0000,-38.300,60.100,-0.0000,0.0000,0.000
171.600,-161.260,-54.500,0.0000,0.0000,0.0000,0.0000,-27.200,52.400,-0.0000,0.0000,0.000
171.650,-162.250,-53.820,0.0000,0.0000,0.0000,0.0000,-5.800,51.600,-0.0000,0.0000,0.000
171.700,-159.690,-51.980,0.0000,0.0000,0.0000,0.0000,78.600,-69.300,0.0000,-0.0000,0.000
171.750,-150.650,-63.420,0.0000,0.0000,0.0000,0.0000,244.300,-299.000,0.0000,-0.0000,0.000
