t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
515.970,-27.160,8.440,-3.9300,3.9300,0.0000,0.0000,-9.000,106.500,0.6173,7.3050,0.900
516.020,-25.320,13.040,-2.7600,2.7600,0.0000,0.0000,65.100,108.500,-3.1359,5.2266,0.900
516.070,-20.840,18.590,-0.4400,0.4400,0.0000,0.0000,107.700,107.200,-0.8271,0.8232,0.900
516.120,-18.950,20.420,1.6800,-1.6800,0.0000,0.0000,-53.800,10.400,-1.5775,-0.3049,0.900
516.170,-21.190,18.990,3.6300,-3.6300,0.0000,0.0000,-68.800,-60.900,-4.3589,3.8583,0.900
516.220,-21.910,12.710,5.2200,-5.2200,0.0000,0.0000,75.500,-175.200,6.8785,15.9618,0.900
516.270,-19.170,4.030,6.1800,-6.1800,0.0000,0.0000,91.600,-202.600,9.8801,21.8527,0.900
516.320,-14.510,-5.230,6.7000,-6.7000,0.0000,0.0000,137.400,-188.800,16.0672,22.0777,0.900
516.370,-9.640,-13.280,6.5500,-6.5500,0.0000,0.0000,78.100,-157.000,8.9283,17.9481,0.900
516.420,-5.310,-19.690,6.8300,-6.8300,0.0000,0.0000,101.500,-126.400,12.0994,15.0676,0.900
516.470,-1.460,-24.560,6.5700,-6.5700,0.0000,0.0000,93.900,-80.700,10.7673,9.2537,0.900
516.520,3.190,-25.920,4.8800,-4.8800,0.0000,0.0000,82.800,10.700,7.0522,-0.9113,0.900
516.570,7.580,-22.960,2.8400,-2.8400,0.0000,0.0000,105.300,101.300,5.2194,-5.0212,0.900
516.620,12.850,-19.210,0.7300,-0.7300,0.0000,0.0000,97.500,141.100,1.2422,-1.7977,0.900
516.670,14.820,-17.040,-1.7100,1.7100,0.0000,0.0000,18.200,-92.500,-0.5432,-2.7607,0.900
516.720,15.040,-20.730,-3.3100,3.3100,0.0000,0.0000,-3.500,-48.300,0.2022,-2.7903,0.900
