t_s,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
50.009,0.022173243228038274,0.015338111510139035,0.022704221680760382,0.01657980289310217
50.019,0.04289311002763349,0.031602001085795084,0.04143786150962114,0.029376920498907565
50.029,0.06362579960996814,0.03564802032651647,0.05819909833371639,0.03516987282782793
50.0389,0.09959171506315753,0.05038813450438068,0.09208127558231353,0.05232312083244324
50.0489,0.12691601227009647,0.07419649473042403,0.1175543986260891,0.07654832452535629
50.059,0.15648437074889887,0.09930083739468827,0.14857742935419083,0.10160837396979332
50.069,0.21708806496802283,0.11913115506819279,0.21106097400188445,0.12290340736508369
50.079,0.222610015148114,0.1383196798471028,0.24690842181444167,0.14285870715975763
50.089,0.23228454900086085,0.1498362173495416,0.2626997008919716,0.1545844092965126
50.099,0.3000368599075222,0.12207144238071414,0.32866393476724626,0.12695010155439376
50.1089,0.38643306800670507,0.12133529438111043,0.4226878970861435,0.12843260839581488
50.1189,0.474993989584117,0.144226053287105,0.5199332863092423,0.15193046554923056
50.129,0.5738900570131066,0.16827822607024903,0.6176387548446656,0.17664370387792588
50.139,0.638501167086377,0.19225000034677692,0.674461841583252,0.20157185047864914
50.149,0.6460574716751408,0.20630761468523823,0.6742246389389038,0.21794813573360444
50.159,0.6254293064763867,0.23783485373334043,0.6478905439376831,0.24922545850276948
50.169,0.6189417782889871,0.26534949114617973,0.6379203736782074,0.27506582289934156
50.1789,0.6107495425426853,0.3027900543048621,0.6299740433692932,0.31078526973724363
50.1889,0.6010488046944473,0.3020464992981321,0.6163455128669739,0.30920783877372743
50.1989,0.592182450699464,0.30138668574333083,0.606677907705307,0.3085237443447113
50.209,0.5484104241600904,0.3014256185194554,0.5621360778808594,0.3085612565279007
50.219,0.4531199247879055,0.3028004533115668,0.47392311692237854,0.306732377409935
50.229,0.5657415784085693,-0.7452406855207452,0.5895045816898346,-0.8493559777736663
50.2389,0.632141644934723,-0.5646638887401374,0.6524505913257599,-0.6637600064277649
50.2489,0.6460677895624378,-0.5453627269703104,0.6601098954677582,-0.634895122051239
