leg,velRMSE_rad_s,velRMSE_deg_s,velMAE_rad_s,velMAE_deg_s,signAgree_percent,oneStepRMSE_rad,oneStepRMSE_deg,confidenceMax,nCycles,exoPositiveWork,exoNetWork,exoPositiveRatio
L,1.01771917698698,58.3110135708819,0.623581183672252,35.7285700081922,97.4227558939815,0.0113923628452772,0.652734309716035,0.694721561635143,61,117.845508310165,111.458961369128,0.948591795184233
R,1.1736611391229,67.2458298502588,0.696441177072222,39.9031401253616,97.173817542832,0.0154299098232802,0.884068711141408,0.712454866056372,61,127.1853059798,118.870659281343,0.938637272308135
