phase_percent,angle_mean_deg,angle_std_deg,velocity_mean_deg_s,velocity_std_deg_s,torque_mean,torque_std
0,-51.821311147541,4.18323383434638,-14.7190786885246,14.3026769009156,31.936597904918,4.83695389457498
1,-51.7332713374084,4.20393643165463,6.78587322469983,14.8198714221291,32.1359382783727,4.84402057968085
2,-51.3503462183011,4.20171082640191,30.9173610465251,16.3320328928625,32.1139162661276,4.81976982830251
3,-50.6781562622088,4.20048996497854,56.3926160898009,18.2179790731607,31.8753829305229,4.76539420251367
4,-49.7629219918605,4.19829648326692,81.2017931900581,20.1852243398051,31.4208427770253,4.68814511653243
5,-48.593875644452,4.1470059789629,104.852091096979,23.812863192699,30.7786039752943,4.58156949828154
6,-47.2502208210294,4.09081377033597,122.913969193557,26.5473397058258,29.943493933287,4.47097713285855
7,-45.7271162010776,4.08954464909902,132.880753051659,29.4976937872845,28.9177935643084,4.35545942356185
8,-44.125872203553,4.13931861845839,134.482290098662,33.8572273826978,27.7121673769059,4.22958936418056
9,-42.5384159568939,4.18673184749634,129.337646067756,39.1974867332392,26.3768431811652,4.10482000675132
10,-41.025437739823,4.3608403604794,118.717010944616,42.8213274507302,24.9122815957737,3.9683976030046
11,-39.6416400989343,4.53901500701837,108.775109734075,42.952585928657,23.3774213582688,3.84039406597546
12,-38.3496798508304,4.71675848302494,101.28323732216,40.6111974426324,21.7944825349393,3.67937275274837
13,-37.0402591058318,4.86400754644736,95.4417895180255,37.9220780588139,20.1944576649254,3.505971514465
14,-35.8037382918788,5.01152583173842,91.291844441607,36.1584745725695,18.5792576286564,3.34808350341944
15,-34.5974944793185,5.11513044034876,87.6293661623763,33.4410841536283,17.00136660843,3.20465403477537
16,-33.448294498235,5.19636149486878,82.647404875739,29.8770339153826,15.4476509866016,3.07509810714948
17,-32.3698142816171,5.29092286188132,75.2844828615592,28.1123303064839,13.9288408568079,2.95284694609606
18,-31.4188557232925,5.45111983029945,64.3246989551515,28.3262574138731,12.4393503124418,2.86407001779201
19,-30.5944877759416,5.61626579418338,51.6714203989795,30.3673487112944,11.020403229591,2.81477094109775
20,-29.9620457287319,5.76782084803805,39.0980112002243,32.5793241099584,9.66819962898905,2.78602675142663
21,-29.4427892299489,5.94858418908386,28.0600662115785,31.4385853848271,8.40495438031557,2.81851956571507
22,-29.0714524405283,6.1323270768749,21.9809399367229,27.3679438493661,7.21094278383309,2.88984569521353
23,-28.7275811678972,6.30670649065287,23.3047076181287,22.0301594548109,6.1051655965616,2.99966707795519
24,-28.3319441973342,6.43589935341362,31.3994365771734,18.4590656769226,5.10427777626417,3.12357072457883
25,-27.8658187877357,6.52899123844032,42.3253581686791,17.5850884443038,4.18815728715135,3.25764145772148
26,-27.3085677552786,6.60551961474701,52.890808408462,17.0322600847579,3.34061951753902,3.39122286032598
27,-26.6569236429219,6.6375777302573,62.0593322486371,16.0404261605636,2.53912347742626,3.52186244615239
28,-25.9634148194617,6.62529971023767,68.2828040108278,15.2425848124791,1.79488054945295,3.61700116322916
29,-25.226462914356,6.61415099165667,71.6251957894609,16.280548326243,1.074091653718,3.71681577021126
30,-24.4501315811938,6.55406436226049,73.4870555849231,19.6055234204119,0.373005500752872,3.80158083397559
31,-23.6404677051242,6.49240451164629,73.6451792676479,24.0030606763426,-0.302825719312969,3.87238724540632
32,-22.808154900007,6.41161827108636,72.7071481605285,27.9912280198467,-0.973522927795275,3.93017871130883
33,-21.977645434694,6.31448847558232,71.1185347789627,31.5104724668903,-1.64092030012362,3.97233772915787
34,-21.118454044262,6.12944028670855,69.2694067447518,34.2871144031386,-2.30872220136765,4.00371414791513
35,-20.2869858133893,5.85645022545798,67.919108718587,36.4825452843705,-2.98108332567342,4.00347514885151
36,-19.4815191793869,5.53631386826244,66.9438223360849,38.290932692782,-3.64488485444283,3.98855803601441
37,-18.6825686427346,5.18533067662409,66.9266480868664,39.851741303493,-4.32915187323825,3.94806817670697
38,-17.8692076754364,4.8052920454999,68.0195080318984,41.6086606977989,-5.02388327282511,3.87667390694936
39,-17.0953798130499,4.44428792648681,70.3748454131279,42.8946189513787,-5.73256183002278,3.78315797675842
40,-16.3008396417208,4.09838849505257,73.4469723482424,44.0676016058482,-6.44308653738417,3.65417490131035
41,-15.503219449559,3.76471735998146,76.8269009415495,45.3128018503951,-7.1595791623512,3.50343090534571
42,-14.6690318010764,3.40767516286952,80.2580726448322,46.9275026992237,-7.88692114658939,3.32871376685327
43,-13.8283456178694,3.07204947336496,83.3395656996576,48.6628063440822,-8.62263889478869,3.1249917437724
44,-12.9684693771666,2.74002917964352,85.7184942208681,50.7405979703256,-9.35965853055904,2.90299292716988
45,-12.040197448509,2.39479939315864,86.968306140685,52.6822565854494,-10.122077863167,2.67961976951428
46,-11.1114412014297,2.12278063854203,87.2813531837255,53.5779905841711,-10.8916315717808,2.45804002466526
47,-10.1818029509894,1.94701020668502,86.3822704874734,53.0364505004859,-11.6813581298869,2.25011299082828
48,-9.22476526143755,1.87397309179502,84.2688801700124,51.1199484997514,-12.485834481362,2.07535623528757
49,-8.29082141388868,1.96323425179888,80.6681991773822,47.5977706218177,-13.307190134983,1.96240223856539
50,-7.43329775113417,2.12909958631425,75.9660367482392,43.4310353683445,-14.1333000960664,1.93741426367633
51,-6.64542697171271,2.29837809890726,71.3167466134139,39.4336874968739,-14.9545266176321,2.02524976469566
52,-5.90210527804512,2.46379353434026,66.9597781597569,35.5960931690993,-15.7772018412199,2.2083397289543
53,-5.19773775433429,2.60822623886828,63.087155151171,32.0567294396238,-16.5978203257824,2.46114912368161
54,-4.53504162935671,2.73910189778802,59.7919703474437,28.1689322107998,-17.4073876021334,2.7588562612532
55,-3.91711612903373,2.85541161373084,57.5563187018994,24.6386549689887,-18.2117405695095,3.07818128015422
56,-3.334045284119,2.96635977915812,55.7049282368853,21.6545614573644,-18.9921160814572,3.40142494889904
57,-2.7634704144588,3.07400670339476,54.5859781494085,19.1282742280236,-19.757443213216,3.72723825624611
58,-2.1782974899975,3.18975976201079,53.7911957361365,16.8947928566002,-20.5141767549606,4.05272396941754
59,-1.59960466144995,3.30017110083413,52.3659379893868,15.0309912176644,-21.2546991428906,4.37435690487972
60,-1.05771512684419,3.37813156891776,49.9642058077454,13.6822852853521,-21.963031768786,4.66823375684891
61,-0.554170817545809,3.43701080362375,45.9877863025946,12.1580462564269,-22.6500524501435,4.94269912414946
62,-0.107637589929545,3.46909319660581,39.7377080471981,10.8684359038665,-23.323843988929,5.20051535184354
63,0.252086165728502,3.46749622273485,32.3707855137331,11.4465453937665,-23.9861871926658,5.44297001939747
64,0.511479268920058,3.40870953949343,23.3161007059197,14.0429233417135,-24.6355962611417,5.66389379614566
65,0.653258073881852,3.2823818041698,10.9941785272297,18.9852344596441,-25.2634261991762,5.86594166832909
66,0.664604474269057,3.10783619551733,-4.03246600564134,25.2666942457269,-25.8592630617916,6.04846997695245
67,0.491449484479348,2.87732720414088,-22.9784088609796,32.2945690053303,-26.4185126394146,6.19705047181008
68,0.117479239269569,2.61270671971972,-44.7955789996534,40.6539682749302,-26.9314110865577,6.2955258242002
69,-0.546764140392004,2.25925056252404,-69.8456607795003,51.0037057312578,-27.3454533986359,6.31291037936388
70,-1.48423886112325,1.91097666770076,-96.2520127333433,60.554555549411,-27.59657267999,6.20533426192278
71,-2.69684615406202,1.64832772056763,-122.965254315887,67.9617572620622,-27.6173647625253,5.95631203648983
72,-4.19550917597561,1.50187749556125,-148.506057331679,70.9817170849206,-27.332390542987,5.55229071090284
73,-6.00066281941097,1.63166500462161,-170.851240966775,69.3422258058421,-26.6712464467363,5.00776589903995
