phase_percent,angle_mean_deg,angle_std_deg,velocity_mean_deg_s,velocity_std_deg_s,torque_mean,torque_std
0,-48.921671147541,4.73130681187277,3.94046819672131,17.9689335194457,34.5843297442623,5.45413368666898
1,-48.7344611028646,4.67908752759044,26.6825827182738,17.8311782140803,34.8678785210762,5.23456493210996
2,-48.3235422063916,4.64899539435032,48.5158773987699,18.996376028844,34.8573037767479,5.00853578498205
3,-47.6863248927164,4.66201838546856,69.4633536253209,20.861683015695,34.5901935453195,4.77559691010704
4,-46.8119309946935,4.69811074332777,90.7787018350882,22.5438439054053,34.0770594418792,4.56317498487828
5,-45.6623718026866,4.7532745287581,112.244845364376,25.4377900395858,33.3496166918129,4.38164586879449
6,-44.3202992125784,4.78517690096681,130.633761954547,28.1114271477063,32.4213495438353,4.20662417104874
7,-42.8560544046519,4.7913513916879,142.602225037353,30.0314846938972,31.3163403397241,4.0638108924401
8,-41.3510067234778,4.74787021848945,147.816894770781,32.2861582241282,30.0335339220173,3.90938596889799
9,-39.8814344175917,4.69750868260544,147.124081829276,34.7124190057838,28.6064384674215,3.75423760209084
10,-38.5361699729953,4.66709805185869,142.657480995971,37.2589510814639,27.0925883520873,3.59744694202458
11,-37.190314486485,4.66521287576751,137.137015731791,38.3701191407864,25.4806408187149,3.43313702545697
12,-35.821912689871,4.72575103432368,132.288998279402,39.2622583780645,23.8203425000941,3.26825342942434
13,-34.4836888513213,4.80783026192309,128.048731865028,38.5245076279932,22.1237151819992,3.10293039073086
14,-33.1687071375751,4.91884738310145,123.917898859683,36.834614556868,20.4266409015915,2.95740814827625
15,-31.9182021239875,4.9941139233768,118.864323876953,34.7175721944536,18.7418193609441,2.82291110616068
16,-30.7381871776451,5.0782922375685,112.622170416949,34.3913443791867,17.1035955273613,2.69052064854744
17,-29.6309022719522,5.14636790999865,102.51135186819,35.0539166360928,15.5347438366685,2.57571952990014
18,-28.6025416041259,5.22026184517422,88.4451344357474,36.8916911934529,13.9879343260057,2.4459885441807
19,-27.7403270360338,5.31322525037968,72.0115359819306,39.6045809105024,12.4913574481175,2.3698626802843
20,-27.0498232681827,5.40883669757824,54.9425765342904,41.3828435561509,11.0917768669048,2.34292681595109
21,-26.4864431681529,5.53086394308571,40.8703379142754,38.7131694724375,9.77168386321056,2.34558098712321
22,-26.032785106471,5.63695919056488,34.1233584101543,33.2146026344079,8.5491175894852,2.38448855765105
23,-25.6070334663149,5.75019952863858,35.2454546055375,28.7846212879393,7.42068122649819,2.44377963084332
24,-25.1398025122128,5.85436925207582,43.0121436447728,27.6707446583535,6.39469512453208,2.51384816585542
25,-24.5770694804553,5.90393852730262,54.6204909268179,29.7183943998264,5.46502947899601,2.59061979090906
26,-23.8577941325724,5.97376382603655,68.3644003967184,30.9739009645335,4.61034378170434,2.67046883309485
27,-23.0248331128319,6.0507089107769,81.1220135290606,30.1425804010509,3.8030393044504,2.74644680111966
28,-22.08373616918,6.16816539045427,89.9601799667621,28.8874657199997,3.01970519527531,2.82915136296113
29,-21.1044550977292,6.30798066792337,94.1927500199377,28.3749218005527,2.24984868057374,2.92576360272632
30,-20.1870606016426,6.41921356990928,93.3631506366325,29.0426570002652,1.49178819990191,3.032119333059
31,-19.339578646418,6.50415164114931,89.5513558211937,31.5866948920263,0.736100788215685,3.15364341476195
32,-18.5824459689763,6.49022278610325,85.1196921277104,34.7971157552903,-0.0274818452748477,3.27434744302251
33,-17.8827249746016,6.3869559462308,81.7631894392807,36.6952344142544,-0.785158129227474,3.38047344643563
34,-17.1874317085447,6.24897865358253,79.6736073400689,37.2092856629342,-1.53817533018903,3.4884623625872
35,-16.5076795636368,6.08942357179109,78.5595497661521,36.6510651285844,-2.27854950925203,3.5922503892761
36,-15.798783622736,5.88882980740725,78.5810766970974,36.0494295501011,-3.00477704100136,3.67822023250109
37,-15.0685247568927,5.67375180056469,79.1951641955671,36.374521961757,-3.71292407163831,3.75629973532537
38,-14.3109413084905,5.45437012187773,80.5925602695083,37.2321095227334,-4.41786305989755,3.81016395657009
39,-13.4697792942217,5.19292456020679,82.684798580742,38.6289447043772,-5.12070797620386,3.84593042190005
40,-12.5746707981364,4.93644357309986,85.1703570327904,40.6660966827164,-5.80673578481137,3.85532496881913
41,-11.6300388833318,4.69617698482767,87.3916700246641,42.7379304636732,-6.51925291100688,3.86199402997683
42,-10.6375104672053,4.51431301973764,88.9336555300155,44.1088388474209,-7.25172878833344,3.85699173446523
43,-9.48933763172875,4.30688547718891,89.345389598748,45.6176871267795,-8.00354439401802,3.83677885184116
