time_abs_s,time_window_s,q_L_deg,dq_L_deg_s,dq_int_L_deg_s,confidence_L,B_L,D_L,tau_ff_L,tau_damp_L,tau_exo_L,tau_measured_L,q_R_deg,dq_R_deg_s,dq_int_R_deg_s,confidence_R,B_R,D_R,tau_ff_R,tau_damp_R,tau_exo_R,tau_measured_R
50.009,0,-46.7807,49.3570666666667,48.8591993093361,0,0,0,0,-0,0,40.3858823333333,-2.82256666666667,38.8794,37.1932410218873,0,0,0,0,-0,0,-1.88157466666667
50.019,0.00999999999999801,-46.5921,53.6804,51.0952953480787,0.0147309599384557,0.0294619198769114,0.0147309599384557,0.0262735843796051,-0.000664640107662265,0.0256089442719429,40.68168075,-2.5026,42.70935,41.2643054204898,0.0147267509418437,0.0294535018836873,0.0147267509418437,0.0212123529474617,-0.000371420230305959,0.0208409327171557,-2.07114075
50.029,0.0200000000000031,-46.32514,59.35056,55.0520720249873,0.0291302531599331,0.0582605063198661,0.0291302531599331,0.0559790200498304,-0.00218543222522102,0.0537935878246094,40.8994164,-2.31062,45.00732,41.5045069080363,0.0292949689054147,0.0585899378108294,0.0292949689054147,0.0424419826255396,-0.0017909661319317,0.0406510164936079,-2.2714356
50.0389,0.0298999999999978,-45.75606,71.61864,60.4311768944205,0.0426423630308382,0.0852847260616764,0.0426423630308382,0.0899517627794659,-0.00832626534094544,0.0816254974385205,41.3445212,-1.94588,50.25634,41.6456309234287,0.0430984357184287,0.0861968714368575,0.0430984357184287,0.0626524872358873,-0.00647705807967867,0.0561754291562086,-2.6688566
50.0489,0.0399000000000029,-45.18698,83.88672,67.3924226123775,0.0552266737140703,0.110453347428141,0.0552266737140703,0.129917399363236,-0.0158986436297822,0.114018755733453,41.5646014,-1.47566,51.11082,41.2216530759628,0.0564840169813291,0.112968033962658,0.0564840169813291,0.0812752552501534,-0.00974905790994563,0.0715261973402078,-3.091692
50.059,0.0499999999999972,-44.33006,101.00098,77.0204006019617,0.0668092533996073,0.133618506799215,0.0668092533996073,0.179617958058527,-0.0279623493962086,0.151655608662319,41.5760596,-1.13618,47.68064,41.3211414190246,0.0702018737851269,0.140403747570254,0.0702018737851269,0.101257774279636,-0.00779200004803823,0.093465774231598,-3.5352618
50.069,0.0600000000000023,-42.76012,126.41602,89.9607933544162,0.0765352343918228,0.153070468783646,0.0765352343918228,0.240337786272111,-0.0486965940569796,0.191641192215131,41.385368,-0.83954,43.59128,40.4138600504932,0.0843696206408773,0.168739241281755,0.0843696206408773,0.119021054258109,-0.00467883879117887,0.11434221546693,-3.9946216
50.079,0.0700000000000003,-40.96056,148.19338,108.278138349851,0.0848706537765687,0.169741307553137,0.0848706537765687,0.32077882418419,-0.0591253436690639,0.261653480515126,40.987249,-0.3814,42.01658,38.971710340881,0.0988266234374586,0.197653246874917,0.0988266234374586,0.134440706638525,-0.00525194333291499,0.12918876330561,-4.4651794
50.089,0.0799999999999983,-39.34996,165.96682,125.263554446469,0.0928353618328322,0.185670723665664,0.0928353618328322,0.405924746999888,-0.0659507980788899,0.339973948920998,40.3769276,0.17672,41.12548,37.0417268889791,0.113204533745098,0.226409067490196,0.113204533745098,0.146373483604414,-0.00806864608164819,0.138304837522766,-4.9450006
50.099,0.0899999999999963,-37.3878,179.48,137.936873345127,0.100658010123214,0.201316020246429,0.100658010123214,0.484658776319402,-0.0729835338468752,0.411675242472527,39.557521,0.56124,42.94434,35.9347796330152,0.12723645951936,0.25447291903872,0.12723645951936,0.159600381492996,-0.0155660966909216,0.144034284802074,-5.4332762
50.1089,0.0998999999999981,-35.63876,177.03858,146.054391282676,0.109242099891374,0.218484199782748,0.109242099891374,0.556944631442978,-0.0590755177375378,0.49786911370544,38.5412022,0.88644,45.86184,35.4575755116418,0.14058201305286,0.28116402610572,0.14058201305286,0.173998761715503,-0.0255281009969297,0.148470660718573,-5.9272274
50.1189,0.109899999999996,-34.36104,159.11866,147.106060641066,0.120489922292807,0.240979844585614,0.120489922292807,0.618712162259559,-0.0252618460834809,0.593450316176078,37.3569064,1.14792,49.0601,35.8960540864934,0.153525289974635,0.307050579949269,0.153525289974635,0.192368518568309,-0.0352733479374175,0.157095170630892,-6.4221142
50.129,0.119999999999997,-33.28328,136.43798,141.500684189733,0.134134919940915,0.268269839881831,0.134134919940915,0.662533370055322,0.0118522765017846,0.674385646557107,36.0501734,1.41378,47.8394,35.8233775172505,0.166455940722707,0.332911881445413,0.166455940722707,0.208148455442065,-0.0349089992859695,0.173239456156095,-6.9131046
50.139,0.130000000000003,-32.20552,113.7573,129.50537039891,0.147318837258611,0.294637674517222,0.147318837258611,0.665968095662509,0.0404914190879363,0.706459514750445,34.6697978,1.7104,43.22514,35.4326700945356,0.17972732366256,0.359454647325121,0.17972732366256,0.222292776900095,-0.0244436810657298,0.197849095834365,-7.3973334
50.149,0.140000000000001,-31.47932,95.33688,116.83975957303,0.159068078626079,0.318136157252157,0.159068078626079,0.648755500679462,0.0596976211455311,0.708453121824993,33.2589562,2.08942,36.51126,33.7750202177533,0.193808520412372,0.387617040824743,0.193808520412372,0.228494550590976,-0.0092555959304057,0.219238954660571,-7.8754154
50.159,0.149999999999999,-30.90364,80.51756,104.189029351431,0.170125872995193,0.340251745990387,0.170125872995193,0.618727931640649,0.0702866672329972,0.689014598873646,31.8539754,2.48382,27.64894,31.4760001272155,0.208235764446289,0.416471528892578,0.208235764446289,0.228792731468315,0.0139090662164857,0.2427017976848,-8.3513782
50.169,0.159999999999997,-30.56966,72.87596,93.6817104720959,0.181244503354922,0.362489006709844,0.181244503354922,0.592689207905016,0.0658151079065157,0.658504315811532,30.4836486,2.87822,18.78662,28.8374827449444,0.222024687209001,0.444049374418002,0.222024687209001,0.223494056307562,0.0389477144056895,0.262441770713252,-8.830854
50.1789,0.169899999999998,-30.28182,68.9453,85.7807643566767,0.192842535845522,0.385685071691043,0.192842535845522,0.577431017289209,0.0566637484692416,0.634094765758451,29.1690498,3.10674,11.8286,26.665874238964,0.234724506530473,0.469449013060947,0.234724506530473,0.21848499924904,0.0607840909678685,0.279269090216909,-9.3178408
50.1889,0.179899999999996,-29.74458,68.396,80.0033950056141,0.205360428122751,0.410720856245502,0.205360428122751,0.573498836711877,0.041603406533609,0.615102243245486,27.9229108,3.20452,7.58054,24.8667092808858,0.246921207247972,0.493842414495944,0.246921207247972,0.214330546790752,0.074496268726993,0.288826815517745,-9.8118234
50.1989,0.189900000000002,-28.34822,72.57082,75.5871847032357,0.219084264343058,0.438168528686117,0.219084264343058,0.578051748146305,0.0115337996553108,0.589585547801616,26.744566,3.2199,5.4321,23.55767618102,0.258830949487036,0.517661898974072,0.258830949487036,0.212841355697039,0.0818814253476002,0.294722781044639,-10.3074892
50.209,0.200000000000003,-26.93978,74.84132,72.8501477564377,0.233792904407019,0.467585808814038,0.233792904407019,0.594523637698975,-0.00812489062812686,0.586398747070848,25.619824,3.19354,1.0864,22.3437733873362,0.270509770684508,0.541019541369017,0.270509770684508,0.210982695989148,0.100362142713327,0.311344838702475,-10.7973782
50.219,0.210000000000001,-25.4006,73.5962,69.7286364152935,0.248281633255977,0.496563266511954,0.248281633255977,0.604314659160831,-0.0167594369374629,0.587555222223368,24.5311468,3.00898,-8.23976,21.1515653243098,0.281089837912662,0.562179675825324,0.281089837912662,0.207536754683712,0.144192171598995,0.351728926282708,-11.274081
