leg,velRMSE_rad_s,velRMSE_deg_s,velMAE_rad_s,velMAE_deg_s,signAgree_percent,oneStepRMSE_rad,oneStepRMSE_deg,confidenceMax,nCycles,exoPositiveWork,exoNetWork,exoPositiveRatio
L,1.15888080364933,66.3989790078359,0.722686808389703,41.4069040305096,97.2521880724608,0.0130537989117756,0.747927584257211,0.719215672079812,89,150.52848475013,135.945790116661,0.911679544123484
R,1.26504087055803,72.4815027945308,0.783340747516079,44.8821187532943,96.7433340118054,0.0170557437609443,0.977222133958692,0.682025082424739,90,171.046591514996,154.447374412625,0.911539632967671
