phase_percent,angle_mean_deg,angle_std_deg,velocity_mean_deg_s,velocity_std_deg_s,torque_mean,torque_std
0,-55.1343146666666,2.89480604904374,-0.468887555555556,21.4412985549178,39.1612181133333,4.57413271578712
1,-54.9586450227939,2.86903670501924,22.7634419812369,21.9923454138662,39.2628451163404,4.40928502913222
2,-54.5455155725216,2.87494689173862,46.3755384339349,23.0150470316852,39.0779956124527,4.25887534332277
3,-53.9246282046554,2.92088594718731,68.9071208342084,23.3524650991133,38.6364056181702,4.11633932475662
4,-53.0783562748444,2.991827883734,91.5784698746257,22.6392618724723,37.9562942363315,3.98740140677901
5,-51.9740106734593,3.06345528881881,113.775220613745,22.0290542763164,37.0474240930124,3.83962872490442
6,-50.6535528196956,3.13902816899547,135.22861147035,22.7397950219053,35.9322964724373,3.68628574469246
7,-49.1261264100034,3.25595871656733,154.661833362469,25.0534825413566,34.6350111202445,3.54573406967041
8,-47.4733869792697,3.43781890820764,170.482964901163,28.7221584717353,33.1689502489595,3.42924794552887
9,-45.7464507529621,3.60321240452641,181.959089792995,33.1625149046346,31.569238580179,3.33667367991421
10,-43.9176533421391,3.77318393885986,189.382616727686,38.8497821754323,29.8233168254393,3.21536376783639
11,-42.0484454879383,3.96871528779151,193.545786759154,43.8224764730819,27.9606713851047,3.08335316314063
12,-40.1249259019999,4.16559738692876,195.718076683596,47.8909623998156,25.9976429642741,2.9627278463784
13,-38.0367115139199,4.40910924669844,197.003514791848,50.9062942187091,23.9601968583701,2.87057686650019
14,-35.877757905684,4.6538906085788,196.190233710034,53.6128750215256,21.854730690731,2.80045278206615
15,-33.7031615000584,4.72284990406767,192.327678342693,56.5798634206179,19.7206638198175,2.78872289998411
16,-31.556842172155,4.81100263523338,184.70034859137,59.0574643033354,17.5567618906953,2.81363009984623
17,-29.5649208068924,5.02394051331493,172.1283955006,60.9411820436212,15.3824314735782,2.87095474917417
18,-27.826125897057,5.30213549021134,154.545891825879,62.4047858696162,13.2337430253476,2.97907007293763
19,-26.3350641949098,5.57908771592182,133.938776395244,61.5979363913822,11.1193050008342,3.1230999734046
20,-25.1141705802414,5.80414779481641,111.47840020765,60.5226402494725,9.0715311263694,3.29216023640504
21,-24.1615856193811,5.95913851942286,90.0424442600243,58.8094931545102,7.1144506098092,3.49014493280235
22,-23.4103907427844,6.06370888019954,72.2032931427011,55.4792495568844,5.28103904926103,3.71527941824618
23,-22.7849213065819,6.11676412831262,61.3034446381008,49.1227838661619,3.58760915615073,3.93172663790352
24,-22.1634946109333,6.14269042665822,57.2581385795852,40.8607154900519,2.05026520715286,4.13665194239905
25,-21.4658098445702,6.17349822259861,59.512749396857,33.02732007241,0.656555697019501,4.34113623166924
26,-20.6853550346024,6.16642873396392,65.4503197768934,27.1196858305206,-0.607679732634735,4.53297997422145
27,-19.8323583091163,6.10762775358959,72.5680157404667,23.9550212580758,-1.75318346071964,4.7084754981247
28,-18.9263806627194,6.03147565370225,78.4761800736769,23.0662487470363,-2.79397520128046,4.86134298815499
29,-18.0036423609835,5.94309292717385,81.5698167491029,23.2889795114228,-3.76351105408058,4.99933439479969
30,-17.1520664884458,5.84428029767922,81.1978800659656,23.4370340144324,-4.67103986079803,5.11064253186779
31,-16.3372787852349,5.75453309369423,77.4614910791062,24.5700629184207,-5.52480434210898,5.19477001697702
32,-15.5850963972927,5.60427888914533,70.904637096784,27.4987453522468,-6.33678652862103,5.24777621320287
33,-14.8990051966184,5.36361280538924,63.7905376455225,32.4036724823029,-7.10914296619292,5.27217149211482
34,-14.2722010118888,5.07086757791995,57.7219765522401,38.406311136798,-7.8431210927045,5.27066761961299
35,-13.7086717304211,4.74382475590631,54.2112855214805,42.6632902643192,-8.5490527809353,5.24640759840198
36,-13.1418313011311,4.37156827733536,53.9506527498654,44.6833784471088,-9.22796149161986,5.1977741964161
37,-12.5549087539853,4.05567344342146,56.5597130953287,45.7492313440491,-9.88135227643381,5.1183026209557
38,-11.9466583390502,3.81583172429393,60.5062649706088,46.3789401823015,-10.5075890441926,5.01098287024286
39,-11.2626120250712,3.59124597452932,64.2148330452025,46.5730677761826,-11.1132810773373,4.87840983843937
40,-10.507645802299,3.43740843292073,66.7706573435344,46.2387349688713,-11.7129004706259,4.72184437979593
41,-9.74838662351987,3.34132580181447,67.7205041126631,45.3981015783213,-12.2994830618507,4.55196618678984
42,-9.01109263912304,3.22515283914129,66.4629565763324,45.0876243592452,-12.8857896088485,4.36732548633404
43,-8.32175879903912,3.12121307517906,63.8841664768287,44.686228848559,-13.4689760589343,4.18810096612891
44,-7.68518226850945,3.04855572135529,60.7191949451591,43.8396515797839,-14.0491448311717,4.02342538996546
45,-7.07044809563714,3.00333566290747,57.6316034802408,42.4006657483697,-14.6306164671613,3.88990786332919
46,-6.45766880910751,2.97908684292724,55.461299587391,40.5167298409767,-15.216651515403,3.79425118781803
47,-5.83567060240825,3.01706904866448,53.9457032693374,38.438370371911,-15.7987496215678,3.74358990454525
