side,window_start_s,window_end_s,pair,corr_0lag,rmse_0lag,mae_0lag,bias_0lag,best_lag_ms,best_lag_corr,best_lag_rmse
L,50.0,55.0,matlab_vs_ref_mc,0.7453704515842153,1.2141194165470521,0.6781794441190478,-0.04922942930617943,-20.0,0.7693474137969945,1.1638624702470475
L,50.0,55.0,matlab_vs_deploy_mc,0.7488198247257534,1.1937182010644043,0.6631861847096902,-0.04167712849360485,-20.0,0.7728913522078984,1.14289642464376
L,55.0,60.0,matlab_vs_ref_mc,0.587453944968861,1.490470094653959,0.9140474953315215,0.06907534690146898,-70.0,0.6979034019890922,1.285801271089849
L,55.0,60.0,matlab_vs_deploy_mc,0.5847471100336018,1.4888031728180384,0.9099755238673151,0.06235012844001685,-70.0,0.6973004990526299,1.2806176291279616
L,60.0,65.0,matlab_vs_ref_mc,0.5514004902359341,1.5594183295201065,1.0500786297982454,-0.11869320180201978,-70.0,0.6854619927711892,1.3201190586406033
L,60.0,65.0,matlab_vs_deploy_mc,0.547282972491581,1.5564011214251459,1.0427901265484454,-0.13153448933069273,-70.0,0.6819291351504455,1.3179220163534675
L,65.0,70.0,matlab_vs_ref_mc,0.4644246958767284,1.6460911506542255,1.0901746489431514,0.07526246678502281,-80.0,0.6409276529244089,1.3983278539955237
L,65.0,70.0,matlab_vs_deploy_mc,0.462101506282318,1.6390925357399493,1.077817105698555,0.06895446568397012,-80.0,0.6430260890894084,1.3834489757946589
L,70.0,75.0,matlab_vs_ref_mc,0.43380534553957795,1.7460202932612665,1.1375816008404644,-0.17065087431213258,-70.0,0.6378716814107385,1.4836644759144673
L,70.0,75.0,matlab_vs_deploy_mc,0.43870693042323883,1.71286842743174,1.1137660307780612,-0.18252396573757898,-70.0,0.6391029765511242,1.455258893581554
L,75.0,80.0,matlab_vs_ref_mc,0.4153601606119752,1.7633971641776651,1.175080775102423,-0.018454186371512433,-80.0,0.62769580877229,1.4855008813828023
L,75.0,80.0,matlab_vs_deploy_mc,0.4150184879911435,1.7641543998578288,1.1790764151191282,-0.018638897857757224,-80.0,0.6318970066292576,1.4791057726760977
L,80.0,85.0,matlab_vs_ref_mc,0.44585226350912754,1.630169337694765,0.9748017756103723,-0.22566080903735186,-60.0,0.5923288417247227,1.4589898726211958
L,80.0,85.0,matlab_vs_deploy_mc,0.447182286728037,1.6361180891022964,0.9930197271346854,-0.2007866554691961,-60.0,0.5900517498321614,1.4687965634026998
L,85.0,90.0,matlab_vs_ref_mc,0.43575324647639807,1.7758229812571786,1.1920205455787203,-0.07035751171460208,-80.0,0.5309895221118379,1.619109686387538
L,85.0,90.0,matlab_vs_deploy_mc,0.4382482246056966,1.7609991253612665,1.1886625009855645,-0.05458870154893948,-80.0,0.5343321579005342,1.6043334583852427
L,90.0,95.0,matlab_vs_ref_mc,0.33823839924397786,1.8814032003746133,1.181348265784075,-0.12675160502514987,-70.0,0.6147204917968083,1.5493410192507229
L,90.0,95.0,matlab_vs_deploy_mc,0.33617057497323244,1.906492093079785,1.1977132335922127,-0.10819104217443454,-70.0,0.6167203823026153,1.5689202792945474
L,95.0,100.0,matlab_vs_ref_mc,0.4235372388983164,1.8734682205122668,1.2554972470505779,-0.005284295715194924,-80.0,0.5924193337962814,1.6339891951381673
L,95.0,100.0,matlab_vs_deploy_mc,0.42191704526125184,1.8869239878346336,1.2630658408232966,-0.027686034674780636,-80.0,0.5911656581593755,1.6455078578687652
L,100.0,105.0,matlab_vs_ref_mc,0.3937064492516754,1.7263761087580387,1.0729806066822574,-0.029012930378025242,-70.0,0.5656815976875933,1.535246300727828
L,100.0,105.0,matlab_vs_deploy_mc,0.3900267323634814,1.7337750702646093,1.0660910501967735,-0.04603680082989025,-70.0,0.567086631529791,1.5374097745017026
L,105.0,110.0,matlab_vs_ref_mc,0.5272222228237119,1.5423434082555376,1.0290208594496997,-0.15423232342550136,-70.0,0.6546361320884732,1.3415179863162507
L,105.0,110.0,matlab_vs_deploy_mc,0.529139373919737,1.5368089634473683,1.023539237080062,-0.15136424119755998,-70.0,0.6540842846512673,1.3389251833624476
L,110.0,115.0,matlab_vs_ref_mc,0.5786341948212955,1.5094836752846226,1.1026574647794964,0.00498011700693667,-50.0,0.6803312452050196,1.3726768121728627
L,110.0,115.0,matlab_vs_deploy_mc,0.5840567782456466,1.4965014790567603,1.101940019652736,0.01831046730304117,-50.0,0.6846414767393838,1.360625264677419
L,115.0,120.0,matlab_vs_ref_mc,0.5924297639415682,1.6030200457630404,1.2295609407499375,-0.19308609350660835,-50.0,0.6596704478337945,1.5264372255712162
L,115.0,120.0,matlab_vs_deploy_mc,0.5899986277058646,1.6010830862940197,1.224009784989167,-0.18694689761604608,-50.0,0.6598770720114336,1.5212823520420369
L,120.0,125.0,matlab_vs_ref_mc,0.6520883609436493,1.519985978946332,1.1243003571881638,-0.069099780221795,-40.0,0.7149927223301088,1.407898840274062
L,120.0,125.0,matlab_vs_deploy_mc,0.6518132607081308,1.50236872743247,1.1161375823325832,-0.04902147924077727,-40.0,0.7153191595857376,1.3890103414014494
L,125.0,130.0,matlab_vs_ref_mc,0.6162595755141334,1.5061957342552572,1.209657126215604,0.03316936641871103,-20.0,0.6375493953527717,1.4775556499107945
L,125.0,130.0,matlab_vs_deploy_mc,0.6167980105419361,1.511676423110989,1.2180440312720655,0.0385893112005489,-30.0,0.6398556330170244,1.4806788821248087
L,130.0,135.0,matlab_vs_ref_mc,0.5649619988787914,1.5807696180809079,1.2331561063614074,-0.015730157339690153,-50.0,0.6350688409955143,1.483679414111605
L,130.0,135.0,matlab_vs_deploy_mc,0.5659068431086242,1.5637857826527117,1.2170866628522712,-0.012916132636196481,-50.0,0.6340183348255903,1.4697378293451748
L,135.0,140.0,matlab_vs_ref_mc,0.6609967259612751,1.513175466603437,1.1095595258702124,-0.07118687386165473,-40.0,0.7070257226047324,1.4310951462589996
L,135.0,140.0,matlab_vs_deploy_mc,0.6651334539508035,1.501820385328438,1.106811911350033,-0.0603075625300866,-40.0,0.7109906248497381,1.4194084904393882
L,140.0,145.0,matlab_vs_ref_mc,0.6208204343975401,1.5679084931589875,1.1935049057034903,-0.14652868258304338,-30.0,0.6739492002562506,1.4898853083204793
L,140.0,145.0,matlab_vs_deploy_mc,0.6217838963960557,1.5815643885807529,1.2113903596038342,-0.14114833794143783,-30.0,0.6743013514600847,1.5044205417161296
L,145.0,150.0,matlab_vs_ref_mc,0.6730075817307398,1.4796784152455373,1.1583583236720252,-0.07468842086425714,-30.0,0.7423752662203242,1.367840664453094
L,145.0,150.0,matlab_vs_deploy_mc,0.675299740202515,1.4684224455174266,1.1512749786555387,-0.0667350543865936,-30.0,0.7453917587166192,1.3549284411636915
R,50.0,55.0,matlab_vs_ref_mc,0.7372554917890894,1.2919307891596765,0.7994628395197563,0.01398767038783246,-50.0,0.7757354303225873,1.2101872102345659
R,50.0,55.0,matlab_vs_deploy_mc,0.7425736673573018,1.2796730978992685,0.7943629609086704,0.010234431230583247,-50.0,0.7784766655481218,1.203169601192162
R,55.0,60.0,matlab_vs_ref_mc,0.7096642747996216,1.3770396417012891,0.8569355186292011,-0.03824535139066933,-10.0,0.7177240887382792,1.3572485074618719
R,55.0,60.0,matlab_vs_deploy_mc,0.7073501103343479,1.3855618065290072,0.8588419565725721,-0.0426737339244655,-10.0,0.7158231670275843,1.3649247541726497
R,60.0,65.0,matlab_vs_ref_mc,0.48619362005798916,1.7150320972416409,1.1686999670425229,0.004774518730002694,-60.0,0.5660153889911809,1.614035528961108
R,60.0,65.0,matlab_vs_deploy_mc,0.4897113541470097,1.7158141567906917,1.1748243315581377,0.007398253679607499,-60.0,0.5692104007425278,1.6152897266035213
R,65.0,70.0,matlab_vs_ref_mc,0.4962512455433028,1.8348197462422986,1.2140280058891266,-0.08037853844523192,-70.0,0.6110013234279356,1.658114644266172
R,65.0,70.0,matlab_vs_deploy_mc,0.4940674448109253,1.8426435412509772,1.2209607792301462,-0.07315706109303685,-70.0,0.6103983042176917,1.6634717801632206
R,70.0,75.0,matlab_vs_ref_mc,0.5162620199311162,1.716362606333888,1.151787012960359,0.15172568588742072,-70.0,0.5964306666179711,1.60397653605987
R,70.0,75.0,matlab_vs_deploy_mc,0.5160947218906241,1.7012340176451493,1.1374685651692846,0.13803498372271167,-70.0,0.5960652771653573,1.589197757580286
R,75.0,80.0,matlab_vs_ref_mc,0.3847911365573224,1.9940664853499945,1.3303741917038647,0.049774184560273944,-80.0,0.5622222661273689,1.7664611567772823
R,75.0,80.0,matlab_vs_deploy_mc,0.3839489572671544,2.000487444416474,1.337811706702981,0.05030815002507741,-80.0,0.5555706982626,1.7814139601536079
R,80.0,85.0,matlab_vs_ref_mc,0.5919024821798563,1.7468723893093827,1.152257177730584,0.04695086560397981,-50.0,0.6459841534201513,1.6488563440480755
R,80.0,85.0,matlab_vs_deploy_mc,0.5961016972404255,1.7266434544168114,1.1432681704281031,0.03759244450675577,-50.0,0.6500686735879514,1.6296071062517932
R,85.0,90.0,matlab_vs_ref_mc,0.3298323520355607,1.9900279759162516,1.3704412734921123,0.11465759212856785,-80.0,0.479219928585754,1.842548891378223
R,85.0,90.0,matlab_vs_deploy_mc,0.3369883765640306,1.9973635053575718,1.3691088292232683,0.08342987804365287,-80.0,0.481246573350427,1.8554971697874574
R,90.0,95.0,matlab_vs_ref_mc,0.4488734480203589,2.1098850280343697,1.4216558280319287,-0.02285530876325053,-70.0,0.5575774026979444,1.9090715347416487
R,90.0,95.0,matlab_vs_deploy_mc,0.4464203340600543,2.104596083000187,1.419245240039381,-0.022187649418376077,-70.0,0.5577305083238397,1.8991081713991866
R,95.0,100.0,matlab_vs_ref_mc,0.3358759675278997,1.9819241883366154,1.2982139899887293,0.06320719168417063,-80.0,0.5037018614227652,1.8326543515718605
R,95.0,100.0,matlab_vs_deploy_mc,0.3331716563173589,1.9968581712749036,1.3066762382454917,0.06637022039404912,-80.0,0.5022525629410126,1.8465087541984442
R,100.0,105.0,matlab_vs_ref_mc,0.5557627376560036,1.9709350885886419,1.2713407766173777,-0.03869075417010389,-80.0,0.6451414277423173,1.764499698778779
R,100.0,105.0,matlab_vs_deploy_mc,0.5595988031772396,1.9601362771271296,1.2730851000778938,-0.044110889402921,-80.0,0.6453811682272836,1.762660461027717
R,105.0,110.0,matlab_vs_ref_mc,0.6624439038090778,1.516984716678479,0.9702106578671891,0.015687106116385737,-10.0,0.6777263138568477,1.4892159265111082
R,105.0,110.0,matlab_vs_deploy_mc,0.6612347060049077,1.5189044084664436,0.9640662458292654,0.011926738501707652,-10.0,0.6749914651845137,1.493969128410829
R,110.0,115.0,matlab_vs_ref_mc,0.5874453404558803,1.7322722275971036,1.2477789935802546,-0.23605671423863012,-40.0,0.6376982562387149,1.6677052101070176
R,110.0,115.0,matlab_vs_deploy_mc,0.5905743420310713,1.6920684178874612,1.2239920723385234,-0.21683604860609434,-40.0,0.6351737493207189,1.6351571985276736
R,115.0,120.0,matlab_vs_ref_mc,0.6307594769761441,1.753978652981282,1.3177833078976786,-0.11937929236182902,-40.0,0.6710000571191336,1.691562402974215
R,115.0,120.0,matlab_vs_deploy_mc,0.624898698975487,1.7658460297828553,1.324647699975104,-0.11014095174315629,-40.0,0.6666218389884636,1.7018560287055389
R,120.0,125.0,matlab_vs_ref_mc,0.5750157657450099,1.8288787307436203,1.4054396649197827,-0.27797683301968457,-30.0,0.6219655312098561,1.7590608583642429
R,120.0,125.0,matlab_vs_deploy_mc,0.5746281643194844,1.815331716849905,1.3878876632970232,-0.28162902490633496,-30.0,0.6223462768629012,1.7447348854784397
R,125.0,130.0,matlab_vs_ref_mc,0.5028972351822042,1.8899149875507308,1.5208467809013593,-0.017598231035847046,-30.0,0.584200851367812,1.8003453997189662
R,125.0,130.0,matlab_vs_deploy_mc,0.5010426230744756,1.8924157682233487,1.5180747649109727,-0.014936695691156075,-30.0,0.5809148235283268,1.8048410009987443
R,130.0,135.0,matlab_vs_ref_mc,0.5895762379099329,1.8638536952826545,1.4668655275240812,-0.16896510613310334,-50.0,0.6820543892270828,1.7245432232667612
R,130.0,135.0,matlab_vs_deploy_mc,0.5871175383808769,1.8901249671617733,1.4898577416817471,-0.17023202071717672,-60.0,0.6800576520353026,1.751957067736849
R,135.0,140.0,matlab_vs_ref_mc,0.5369213007267799,2.0204856529044455,1.5670530952900474,-0.21404374059630887,-30.0,0.5707192282476231,1.9796212763228358
