Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
50.009,6.686990261077881,6.686990261077881,3.4181153029203415,3.4181153029203415,0.0,0.0
50.019,10.157327055931091,10.157327055931091,6.193249225616455,6.193249225616455,0.0,0.0
50.029,12.794997990131378,12.794997990131378,8.3856001496315,8.3856001496315,0.0,0.0
50.0389,12.865748405456543,12.865748405456543,8.718182444572449,8.718182444572449,0.0,0.0
50.0489,13.071439862251282,13.071439862251282,8.553291857242584,8.553291857242584,0.0,0.0
50.059,13.185571432113647,13.185571432113647,7.877857089042664,7.877857089042664,0.0,0.0
50.069,13.2363161444664,13.2363161444664,6.323119550943375,6.323119550943375,0.0,0.0
50.079,13.786352276802063,13.786352276802063,4.574960321187973,4.574960321187973,0.0,0.0
50.089,13.944570422172546,13.944570422172546,2.2453462332487106,2.2453462332487106,0.0,0.0
50.099,13.925624191761017,13.925624191761017,0.8744314312934875,0.8744314312934875,0.0,0.0
50.1089,13.948220908641815,13.948220908641815,-0.1075621135532856,-0.1075621135532856,0.0,0.0
50.1189,13.828496038913727,13.828496038913727,-0.4172639362514019,-0.4172639362514019,0.0,0.0
50.129,13.686828911304474,13.686828911304474,-0.24520548060536385,-0.24520548060536385,0.0,0.0
50.139,13.417360782623291,13.417360782623291,0.49819931387901306,0.49819931387901306,0.0,0.0
50.149,13.163398504257202,13.163398504257202,1.1230921000242233,1.1230921000242233,0.0,0.0
50.159,13.174834549427032,13.174834549427032,1.3805536553263664,1.3805536553263664,0.0,0.0
50.169,13.155187368392944,13.155187368392944,0.9244171343743801,0.9244171343743801,0.0,0.0
50.1789,13.090701699256897,13.090701699256897,-0.4535691998898983,-0.4535691998898983,0.0,0.0
50.1889,13.193517923355103,13.193517923355103,-1.5200469642877579,-1.5200469642877579,0.0,0.0
50.1989,13.056411445140839,13.056411445140839,-2.5361502170562744,-2.5361502170562744,0.0,0.0
50.209,13.301726281642914,13.301726281642914,-3.204270601272583,-3.204270601272583,0.0,0.0
50.219,13.47009390592575,13.47009390592575,-3.8800249993801117,-3.8800249993801117,0.0,0.0
50.229,13.271662294864655,13.271662294864655,-6.152089387178421,-6.152089387178421,0.0,0.0
50.2389,13.267934024333954,13.267934024333954,-8.403058648109436,-8.403058648109436,0.0,0.0
50.2489,13.339839577674866,13.339839577674866,-9.399117529392242,-9.399117529392242,0.0,0.0
50.2589,13.320492804050446,13.320492804050446,-10.032990574836731,-10.032990574836731,0.0,0.0
50.2689,13.136246502399445,13.136246502399445,-11.556341350078583,-11.556341350078583,0.0,0.0
50.2789,13.360252976417542,13.360252976417542,-12.324355244636536,-12.324355244636536,0.0,0.0
50.289,13.222019076347351,13.222019076347351,-12.424452602863312,-12.424452602863312,0.0,0.0
50.299,13.176339268684387,13.176339268684387,-13.13076138496399,-13.13076138496399,0.0,0.0
50.3089,12.969845831394196,12.969845831394196,-13.396536111831665,-13.396536111831665,0.0,0.0
50.3189,13.019816279411316,13.019816279411316,-13.18199336528778,-13.18199336528778,0.0,0.0
50.3289,12.978282272815704,12.978282272815704,-12.789473533630371,-12.789473533630371,0.0,0.0
50.3389,12.740172743797302,12.740172743797302,-12.834846675395966,-12.834846675395966,0.0,0.0
50.3489,12.603159248828888,12.603159248828888,-12.514155507087708,-12.514155507087708,0.0,0.0
50.359,12.633182108402252,12.633182108402252,-12.502771317958832,-12.502771317958832,0.0,0.0
50.3689,12.622710764408112,12.622710764408112,-12.490924894809723,-12.490924894809723,0.0,0.0
50.3789,12.61011153459549,12.61011153459549,-12.435972690582275,-12.435972690582275,0.0,0.0
50.3889,12.621324062347412,12.621324062347412,-12.04534649848938,-12.04534649848938,0.0,0.0
50.3989,12.71475076675415,12.71475076675415,-12.109232246875763,-12.109232246875763,0.0,0.0
50.4089,12.783150672912598,12.783150672912598,-11.991612017154694,-11.991612017154694,0.0,0.0
